cell,integration_cluster,cell_type,sample_type
X121879156701557.N,0,Effector/Memory CD4+ T cells,N
X121879156968669.N,3,Pro-angiogenesis Macrophage,N
X121879170865501.N,3,Pro-angiogenesis Macrophage,N
X121879171124012.N,4,Pro-angiogenesis Macrophage,N
X121879171549492.N,2,Pro-angiogenesis Macrophage,N
X121879171614646.N,0,Effector/Memory CD4+ T cells,N
X121879183969500.N,2,Pro-angiogenesis Macrophage,N
X121896082781939.N,4,Pro-angiogenesis Macrophage,N
X121896082983332.N,8,Any Cell,N
X121896094882726.N,3,Pro-angiogenesis Macrophage,N
X121896095333101.N,0,Effector/Memory CD4+ T cells,N
X121896095570732.N,0,Effector/Memory CD4+ T cells,N
X121896095636766.N,0,Effector/Memory CD4+ T cells,N
X121896113727723.N,2,Pro-angiogenesis Macrophage,N
X121896113920796.N,6,Natural killer cell,N
X121896114219299.N,1,Effector/Memory CD4+ T cells,N
X121955391782300.N,6,Natural killer cell,N
X121955392018331.N,3,Pro-angiogenesis Macrophage,N
X121955392019750.N,6,Natural killer cell,N
X121955392374627.N,1,CD8 T or NK cell,N
X121955406990574.N,4,Macrophage,N
X121955407055148.N,3,Pro-angiogenesis Macrophage,N
X121955407318243.N,6,Natural killer cell,N
X121955419313963.N,3,Pro-angiogenesis Macrophage,N
X121955437922667.N,2,Pro-angiogenesis Macrophage,N
X121955438455086.N,1,Effector/Memory CD8+ T cells,N
X121955438520092.N,7,Pro-inflammatory Macrophage,N
X121965726587828.N,6,Natural killer cell,N
X121965727037214.N,3,Pro-angiogenesis Macrophage,N
X121965741295475.N,2,Pro-angiogenesis Macrophage,N
X121965741304547.N,13,Lung Cancer Cell,N
X121965741488054.N,0,Effector/Memory CD4+ T cells,N
X121965741521333.N,3,Pro-angiogenesis Macrophage,N
X121965741525413.N,3,Pro-angiogenesis Macrophage,N
X121965754042293.N,3,Pro-angiogenesis Macrophage,N
X121965754137894.N,2,Pro-angiogenesis Macrophage,N
X121965754146030.N,3,Pro-angiogenesis Macrophage,N
X121965772986205.N,3,Pro-angiogenesis Macrophage,N
X121965773482219.N,3,Pro-angiogenesis Macrophage,N
X121965773516075.N,3,Pro-angiogenesis Macrophage,N
X121965773543717.N,8,Lung Cancer Cell,N
X122282749642987.N,6,Natural killer cell,N
X122282776350110.N,9,Pro-angiogenesis Macrophage,N
X122282776577901.N,0,Effector/Memory CD4+ T cells,N
X122282776677732.N,7,Pro-angiogenesis Macrophage,N
X122282795482347.N,1,Effector/Memory CD4+ T cells,N
X122293366680350.N,2,Pro-angiogenesis Macrophage,N
X122293366680884.N,2,Pro-angiogenesis Macrophage,N
X122293367269100.N,0,Effector/Memory CD4+ T cells,N
X122293379291997.N,3,Pro-angiogenesis Macrophage,N
X122293379353518.N,4,Macrophage,N
X122293379516341.N,2,Pro-angiogenesis Macrophage,N
X122293379616174.N,1,Effector/Memory CD8+ T cells,N
X122293398396323.N,1,Effector/Memory CD8+ T cells,N
X122308384995166.N,4,Pro-angiogenesis Macrophage,N
X122308385204077.N,2,Pro-angiogenesis Macrophage,N
X122308399847652.N,7,Pro-angiogenesis Macrophage,N
X122308411931998.N,0,Effector/Memory CD4+ T cells,N
X122308412205916.N,4,Pro-angiogenesis Macrophage,N
X122308412488926.N,3,Pro-angiogenesis Macrophage,N
X122308431107892.N,3,Pro-angiogenesis Macrophage,N
X122310397745973.N,3,Pro-angiogenesis Macrophage,N
X122310412888435.N,3,Pro-angiogenesis Macrophage,N
X122310425205619.N,2,Pro-angiogenesis Macrophage,N
X122310425241462.N,2,Pro-angiogenesis Macrophage,N
X122310443842806.N,0,Effector/Memory CD4+ T cells,N
X122310444369645.N,8,CAFadi,N
X122310444669221.N,1,Effector/Memory CD8+ T cells,N
X122428777949981.N,2,Pro-angiogenesis Macrophage,N
X122428777982388.N,2,Pro-angiogenesis Macrophage,N
X122428777983261.N,0,Effector/Memory CD4+ T cells,N
X122428792355755.N,0,Effector/Memory CD4+ T cells,N
X122428805212510.N,2,Pro-angiogenesis Macrophage,N
X122428805278454.N,4,Pro-angiogenesis Macrophage,N
X122428805303006.N,1,Effector/Memory CD8+ T cells,N
X122428805465965.N,11,cDC2,N
X122428805466348.N,7,Pro-angiogenesis Macrophage,N
X122428823813421.N,3,Pro-angiogenesis Macrophage,N
X122428823878902.N,6,Natural killer cell,N
X122428824116139.N,2,Pro-angiogenesis Macrophage,N
X122436428458213.N,6,Natural killer cell,N
X122436428458419.N,0,Blood Cell,N
X122436442839838.N,3,Pro-angiogenesis Macrophage,N
X122436443130157.N,6,Natural killer cell,N
X122436455884643.N,2,Pro-angiogenesis Macrophage,N
X122436474267445.N,3,Pro-angiogenesis Macrophage,N
X122436474527011.N,2,Pro-angiogenesis Macrophage,N
X122436474760414.N,3,Pro-angiogenesis Macrophage,N
X122436474813685.N,2,Pro-angiogenesis Macrophage,N
X122436474820404.N,5,Blood Cell,N
X122436475079028.N,0,Naive CD4+ T cells,N
X122514677815094.N,6,Natural killer cell,N
X122514677905268.N,1,CD4 or CD8 T cell,N
X122514692070619.N,11,cDC1,N
X122514692265692.N,3,Pro-angiogenesis Macrophage,N
X122514692496820.N,2,Pro-angiogenesis Macrophage,N
X122514705176926.N,3,Pro-angiogenesis Macrophage,N
X122514723237292.N,4,Macrophage,N
X122514723760038.N,8,Lung Cancer Cell,N
X122514723784549.N,1,Natural killer cell,N
X122514723788581.N,13,Lung Cancer Cell,N
X125042414274933.N,0,Effector/Memory CD4+ T cells,N
X125042427017653.N,2,Pro-angiogenesis Macrophage,N
X125042427647909.N,2,Pro-angiogenesis Macrophage,N
X125042445642139.N,3,Pro-angiogenesis Macrophage,N
X125042445667124.N,3,Pro-angiogenesis Macrophage,N
X125042445700012.N,11,cDC1,N
X125042445899557.N,1,Effector/Memory CD8+ T cells,N
X125042445903669.N,1,Effector/Memory CD4+ T cells,N
X125042445937894.N,3,Pro-angiogenesis Macrophage,N
X125197018875828.N,7,Macrophage,N
X125197033559862.N,2,Pro-angiogenesis Macrophage,N
X125197033888484.N,0,Effector/Memory CD4+ T cells,N
X125197046135078.N,3,Pro-angiogenesis Macrophage,N
X125197064555814.N,1,Effector/Memory CD4+ T cells,N
X125197064723235.N,11,cDC1,N
X125197065316597.N,13,Lung Cancer Cell,N
X125239699590366.N,7,Macrophage,N
X125239700175221.N,3,Pro-angiogenesis Macrophage,N
X125239700182750.N,2,Phagocytosis Macrophage,N
X125239727156451.N,2,Pro-angiogenesis Macrophage,N
X125239746312109.N,0,Blood Cell,N
X125239746549989.N,11,cDC2,N
X125247349970851.N,3,Pro-angiogenesis Macrophage,N
X125247350495989.N,4,Macrophage,N
X125247350500653.N,3,Pro-angiogenesis Macrophage,N
X125247350761262.N,1,Effector/Memory CD8+ T cells,N
X125247364712795.N,3,Pro-angiogenesis Macrophage,N
X125247364914587.N,1,Effector/Memory CD4+ T cells,N
X125247364950323.N,0,Effector/Memory CD4+ T cells,N
X125247365176155.N,2,Phagocytosis Macrophage,N
X125247396375332.N,6,Natural killer cell,N
X125247396669742.N,0,Blood Cell,N
X125677920439222.N,3,Pro-angiogenesis Macrophage,N
X125677920446699.N,4,Macrophage,N
X125677920479139.N,3,Pro-angiogenesis Macrophage,N
X125677920806827.N,11,cDC1,N
X125677935119796.N,2,Pro-angiogenesis Macrophage,N
X125677935967525.N,4,Pro-angiogenesis Macrophage,N
X125677935970150.N,1,Effector/Memory CD4+ T cells,N
X125677947710774.N,2,Pro-angiogenesis Macrophage,N
X125677967206237.N,1,Effector/Memory CD8+ T cells,N
X125719930956142.N,6,Natural killer cell,N
X125719931370420.N,3,Pro-angiogenesis Macrophage,N
X125719945889629.N,1,CD4 or CD8 T cell,N
X125719946114997.N,3,Pro-angiogenesis Macrophage,N
X125719958210484.N,4,Pro-angiogenesis Macrophage,N
X125719976790956.N,2,Pro-angiogenesis Macrophage,N
X125719976995620.N,3,Pro-angiogenesis Macrophage,N
X125719977606508.N,3,Pro-angiogenesis Macrophage,N
X125728252345260.N,0,Effector/Memory CD4+ T cells,N
X125728252869470.N,2,Pro-angiogenesis Macrophage,N
X125728252902302.N,6,Natural killer cell,N
X125728267029349.N,6,Natural killer cell,N
X125728267037547.N,0,Effector/Memory CD4+ T cells,N
X125728267328859.N,2,Pro-angiogenesis Macrophage,N
X125728267351990.N,3,Pro-angiogenesis Macrophage,N
X125728267618150.N,6,Natural killer cell,N
X125728279620515.N,2,Pro-angiogenesis Macrophage,N
X125728298224499.N,3,Pro-angiogenesis Macrophage,N
X125728298265525.N,6,Natural killer cell,N
X125728298777460.N,0,Effector/Memory CD4+ T cells,N
X125745298263469.N,0,Effector/Memory CD4+ T cells,N
X125745298337123.N,0,Blood Cell,N
X125745298561325.N,6,Natural killer cell,N
X125745312492827.N,6,Natural killer cell,N
X125745312714102.N,6,Natural killer cell,N
X125745313234206.N,7,Pro-inflammatory Macrophage,N
X125745325336438.N,4,Macrophage,N
X125745325337827.N,2,Pro-angiogenesis Macrophage,N
X125745325861091.N,5,Blood Cell,N
X125745325889846.N,3,Pro-angiogenesis Macrophage,N
X125745344138157.N,6,Natural killer cell,N
X126132113295660.N,0,Effector/Memory CD4+ T cells,N
X126132113324789.N,11,Pro-angiogenesis Macrophage,N
X126132113852259.N,4,Naive CD4+ T cells,N
X126132128234859.N,7,Pro-inflammatory Macrophage,N
X126132128270118.N,3,Pro-angiogenesis Macrophage,N
X126132128700707.N,4,Macrophage,N
X126132128795355.N,2,Pro-angiogenesis Macrophage,N
X126132159887670.N,0,Effector/Memory CD4+ T cells,N
X126149024758572.N,3,Pro-angiogenesis Macrophage,N
X126149024921453.N,2,Pro-angiogenesis Macrophage,N
X126149024933723.N,0,Effector/Memory CD4+ T cells,N
X126149025028828.N,3,Pro-angiogenesis Macrophage,N
X126149025455325.N,0,Effector/Memory CD4+ T cells,N
X126149039373668.N,4,Macrophage,N
X126149039873332.N,13,Lung Cancer Cell,N
X126149039934180.N,3,Pro-angiogenesis Macrophage,N
X126149039975645.N,6,Natural killer cell,N
X126149040171955.N,6,Natural killer cell,N
X126149052188909.N,2,Pro-angiogenesis Macrophage,N
X126149052189413.N,3,Pro-angiogenesis Macrophage,N
X126149052479787.N,1,Effector/Memory CD8+ T cells,N
X126149071615790.N,2,Pro-angiogenesis Macrophage,N
X126218818144693.N,1,CD8 T or NK cell,N
X126218818414451.N,3,Pro-angiogenesis Macrophage,N
X126218832854262.N,1,Effector/Memory CD8+ T cells,N
X126218832858486.N,0,Effector/Memory CD4+ T cells,N
X126218833446830.N,3,Pro-angiogenesis Macrophage,N
X126218845145956.N,3,Pro-angiogenesis Macrophage,N
X126218845154614.N,2,Pro-angiogenesis Macrophage,N
X126218845481757.N,3,Pro-angiogenesis Macrophage,N
X126227542862627.N,6,Natural killer cell,N
X126227556718940.N,0,Blood Cell,N
X126227557038499.N,4,Pro-angiogenesis Macrophage,N
X126227569364315.N,1,Effector/Memory CD8+ T cells,N
X126227588438301.N,2,Pro-angiogenesis Macrophage,N
X126227588769636.N,1,Effector/Memory CD4+ T cells,N
X126293994564381.N,2,Pro-angiogenesis Macrophage,N
X126294007367517.N,0,Blood Cell,N
X126294007396787.N,2,Pro-angiogenesis Macrophage,N
X126294007695771.N,3,Pro-angiogenesis Macrophage,N
X126294026053420.N,3,Pro-angiogenesis Macrophage,N
X126294026271068.N,3,Pro-angiogenesis Macrophage,N
X126294026767286.N,3,Pro-angiogenesis Macrophage,N
X126364041468267.N,0,Effector/Memory CD4+ T cells,N
X126364041795316.N,13,Lung Cancer Cell,N
X126364041993014.N,0,Effector/Memory CD8+ T cells,N
X126364056440227.N,2,Pro-angiogenesis Macrophage,N
X126364056729526.N,2,Pro-angiogenesis Macrophage,N
X126364056734125.N,6,Natural killer cell,N
X126680929626477.N,2,Pro-angiogenesis Macrophage,N
X126680929855405.N,2,Pro-angiogenesis Macrophage,N
X126680929876190.N,8,Lung Cancer Cell,N
X126680944724916.N,0,Effector/Memory CD4+ T cells,N
X126680957143789.N,3,Pro-angiogenesis Macrophage,N
X126680975732021.N,3,Pro-angiogenesis Macrophage,N
X126681600671147.N,9,Pro-angiogenesis Macrophage,N
X126681600674539.N,2,Pro-angiogenesis Macrophage,N
X126681615292771.N,7,Pro-angiogenesis Macrophage,N
X126681615579869.N,3,Pro-angiogenesis Macrophage,N
X126681615911668.N,9,Pro-angiogenesis Macrophage,N
X126681627871606.N,0,Effector/Memory CD4+ T cells,N
X126681627875038.N,2,Pro-angiogenesis Macrophage,N
X126681627937502.N,3,Pro-angiogenesis Macrophage,N
X126681627970974.N,2,Pro-angiogenesis Macrophage,N
X126681628666102.N,1,Effector/Memory CD8+ T cells,N
X126681628694830.N,3,Pro-angiogenesis Macrophage,N
X126681628731102.N,5,Blood Cell,N
X126681647278492.N,1,Effector/Memory CD8+ T cells,N
X126706297026782.N,1,Effector/Memory CD8+ T cells,N
X126706323966693.N,2,Pro-angiogenesis Macrophage,N
X126706324007846.N,3,Pro-angiogenesis Macrophage,N
X126706324749678.N,3,Pro-angiogenesis Macrophage,N
X126706324753324.N,7,Macrophage,N
X126707773365660.N,0,T or NK Cell,N
X126707788114787.N,6,Natural killer cell,N
X126707788541171.N,2,Pro-angiogenesis Macrophage,N
X126707800590573.N,3,Pro-angiogenesis Macrophage,N
X126707800685814.N,3,Pro-angiogenesis Macrophage,N
X126707800689374.N,3,Pro-angiogenesis Macrophage,N
X126707801185524.N,3,Pro-angiogenesis Macrophage,N
X126765620911387.N,8,Normal Fibroblast,N
X126765621202213.N,9,Natural killer cell,N
X126765621734110.N,2,Pro-angiogenesis Macrophage,N
X126765635852070.N,6,Natural killer cell,N
X126765635921651.N,5,Pro-angiogenesis Macrophage,N
X126765648205677.N,3,Pro-angiogenesis Macrophage,N
X126765648210676.N,4,Natural killer cell,N
X126765648268006.N,5,Blood Cell,N
X126765648276340.N,2,Pro-angiogenesis Macrophage,N
X126765648996086.N,1,Effector/Memory CD8+ T cells,N
X126765648997604.N,0,Blood Cell,N
X126765667596573.N,4,Pro-angiogenesis Macrophage,N
X126765667662556.N,2,Pro-angiogenesis Macrophage,N
X126776224208667.N,3,Pro-angiogenesis Macrophage,N
X126776224365494.N,12,Endothelial Cells,N
X126776224737652.N,4,Blood Cell,N
X126776224893806.N,8,Normal Fibroblast,N
X126776239086316.N,2,Pro-angiogenesis Macrophage,N
X126776239349093.N,2,Pro-angiogenesis Macrophage,N
X126776252186035.N,2,Pro-angiogenesis Macrophage,N
X126776270835036.N,3,Pro-angiogenesis Macrophage,N
X126834206195062.N,2,Pro-angiogenesis Macrophage,N
X126834220919086.N,1,Effector/Memory CD8+ T cells,N
X126834221432054.N,3,Pro-angiogenesis Macrophage,N
X126834221443484.N,0,Effector/Memory CD4+ T cells,N
X126834233756573.N,3,Pro-angiogenesis Macrophage,N
X126835145985317.N,8,Normal Fibroblast,N
X126835160471780.N,2,Pro-angiogenesis Macrophage,N
X126835160668908.N,4,Naive CD4+ T cells,N
X126835160693997.N,2,Macrophage,N
X126835160922851.N,2,Pro-angiogenesis Macrophage,N
X126835160923508.N,0,Blood Cell,N
X126835160958877.N,3,Pro-angiogenesis Macrophage,N
X126835161156534.N,7,Macrophage,N
X126835161159412.N,1,Effector/Memory CD4+ T cells,N
X126835161216886.N,2,Pro-angiogenesis Macrophage,N
X126835161258203.N,2,Pro-angiogenesis Macrophage,N
X126835191863590.N,3,Pro-angiogenesis Macrophage,N
X126835192162156.N,1,Effector/Memory CD4+ T cells,N
X126835192380651.N,0,Blood Cell,N
X126836622341997.N,8,Endothelial Cells,N
X126836622609774.N,6,Natural killer cell,N
X126836622616420.N,2,Pro-angiogenesis Macrophage,N
X126836637034355.N,0,Effector/Memory CD4+ T cells,N
X126836649867564.N,2,Pro-angiogenesis Macrophage,N
X126836668282726.N,0,Effector/Memory CD4+ T cells,N
X126885745776547.N,2,Pro-angiogenesis Macrophage,N
X126885760518574.N,3,Pro-angiogenesis Macrophage,N
X126885761243942.N,3,Macrophage,N
X126885761345846.N,8,Normal Fibroblast,N
X126885773142445.N,2,Pro-angiogenesis Macrophage,N
X126885773363501.N,1,Effector/Memory CD8+ T cells,N
X126885792439083.N,0,Effector/Memory CD4+ T cells,N
X126886685619949.N,2,Pro-angiogenesis Macrophage,N
X126886685620014.N,4,Blood Cell,N
X126886700276460.N,12,Endothelial Cells,N
X126886731467572.N,8,Lung Cancer Cell,N
X126886732323043.N,2,Pro-angiogenesis Macrophage,N
X129457506446174.N,3,Pro-angiogenesis Macrophage,N
X129457506606491.N,6,Natural killer cell,N
X129457518959453.N,2,Pro-angiogenesis Macrophage,N
X129457519019883.N,3,Pro-angiogenesis Macrophage,N
X129457538063132.N,6,Natural killer cell,N
X129457538095012.N,3,Pro-angiogenesis Macrophage,N
X129497355176171.N,4,Effector/Memory CD8+ T cells,N
X129497369296118.N,6,Natural killer cell,N
X129497381685990.N,0,CD8 T or NK cell,N
X129497382144244.N,2,Pro-angiogenesis Macrophage,N
X129497400560372.N,4,Pro-angiogenesis Macrophage,N
X129497400764724.N,3,Pro-angiogenesis Macrophage,N
X129497400990045.N,7,Macrophage,N
X129497401079590.N,4,Blood Cell,N
X129565671470894.N,2,Pro-angiogenesis Macrophage,N
X129565671709413.N,0,Effector/Memory CD4+ T cells,N
X129565672031971.N,4,Pro-angiogenesis Macrophage,N
X129565685828012.N,4,Macrophage,N
X129565686188262.N,4,Macrophage,N
X129565698771693.N,2,Pro-angiogenesis Macrophage,N
X129565717588276.N,3,Pro-angiogenesis Macrophage,N
X129565717621662.N,0,Effector/Memory CD4+ T cells,N
X129565717809053.N,4,Pro-angiogenesis Macrophage,N
X129565717847460.N,4,Pro-angiogenesis Macrophage,N
X129565717851059.N,0,Effector/Memory CD4+ T cells,N
X129583013059484.N,1,Effector/Memory CD8+ T cells,N
X129583013386667.N,2,Pro-angiogenesis Macrophage,N
X129583031446837.N,3,Pro-angiogenesis Macrophage,N
X129583031634852.N,3,Pro-angiogenesis Macrophage,N
X129583031736557.N,2,Pro-angiogenesis Macrophage,N
X129583031966053.N,6,Natural killer cell,N
X129583032220974.N,0,Effector/Memory CD4+ T cells,N
X129663515872686.N,13,Lung Cancer Cell,N
X129663531343141.N,0,Blood Cell,N
X129663543201115.N,2,Pro-angiogenesis Macrophage,N
X129663562069942.N,0,Effector/Memory CD4+ T cells,N
X129663562634997.N,0,Blood Cell,N
X129978391021995.N,2,Phagocytosis Macrophage,N
X129978406137054.N,3,Pro-angiogenesis Macrophage,N
X129978417928029.N,2,Pro-angiogenesis Macrophage,N
X129978418452918.N,3,Pro-angiogenesis Macrophage,N
X129978418748643.N,6,Natural killer cell,N
X129978418783966.N,0,Blood Cell,N
X129978437098859.N,7,Macrophage,N
X129978437332190.N,8,CAFadi,N
X130057579122076.N,6,Natural killer cell,N
X130057606719350.N,0,Effector/Memory CD4+ T cells,N
X130057607210742.N,0,Effector/Memory CD4+ T cells,N
X130057625556900.N,11,Macrophage or Dendritic Cell,N
X130126447536868.N,3,Pro-angiogenesis Macrophage,N
X130126448323507.N,4,Phagocytosis Macrophage,N
X130126460415203.N,0,Naive CD4+ T cells,N
X130126460869995.N,2,Pro-angiogenesis Macrophage,N
X130126460892974.N,3,Pro-angiogenesis Macrophage,N
X130126479776107.N,2,Pro-angiogenesis Macrophage,N
X130126479776475.N,7,Macrophage,N
X130134888535773.N,0,Effector/Memory CD4+ T cells,N
X130134888831899.N,0,Effector/Memory CD4+ T cells,N
X130134888836390.N,2,Pro-angiogenesis Macrophage,N
X130134889392859.N,6,Natural killer cell,N
X130134903831835.N,0,Blood Cell,N
X130134903843045.N,1,Effector/Memory CD8+ T cells,N
X130134916581686.N,2,Pro-angiogenesis Macrophage,N
X130134916618603.N,2,Pro-angiogenesis Macrophage,N
X130134934935837.N,2,Pro-angiogenesis Macrophage,N
X130134934993331.N,11,Macrophage or Dendritic Cell,N
X130134935289204.N,6,Natural killer cell,N
X130134935529717.N,6,Natural killer cell,N
X130142285191523.N,7,Pro-angiogenesis Macrophage,N
X130142285221299.N,3,Pro-angiogenesis Macrophage,N
X130142286076123.N,4,Macrophage,N
X130142316641587.N,4,Macrophage,N
X130142316713773.N,2,Pro-angiogenesis Macrophage,N
X130142317533467.N,12,Endothelial Cells,N
X130144701405406.N,2,Pro-angiogenesis Macrophage,N
X130144701409566.N,7,Macrophage,N
X130144714213805.N,2,Pro-angiogenesis Macrophage,N
X130144714574171.N,8,Normal Fibroblast,N
X130184147261804.N,1,CD4 or CD8 T cell,N
X130184161413869.N,3,Pro-angiogenesis Macrophage,N
X130184161442093.N,0,Effector/Memory CD4+ T cells,N
X130184173704941.N,3,Pro-angiogenesis Macrophage,N
X130184173767390.N,2,Pro-angiogenesis Macrophage,N
X130184174520734.N,2,Pro-angiogenesis Macrophage,N
X130184192932782.N,2,Pro-angiogenesis Macrophage,N
X130184193165557.N,7,Pro-inflammatory Macrophage,N
X130184193391339.N,3,Pro-angiogenesis Macrophage,N
