cell,integration_cluster
X121742656976742_X_.N,3
X121742657476395_X_.N,3
X121742671402934_X_.N,0
X121742671404340_X_.N,3
X121742671595380_X_.N,1
X121742672161131_X_.N,4
X121742702799668_X_.N,3
X121742703316275_X_.N,7
X121742703585118_X_.N,5
X121742703614363_X_.N,3
X121812477405044_X_.N,3
X121812477431198_X_.N,0
X121812496629164_X_.N,6
X121812496832734_X_.N,4
X121826140342709_X_.N,2
X121826140940590_X_.N,0
X121826155116899_X_.N,4
X121826155583733_X_.N,7
X121826167613790_X_.N,2
X121826186225382_X_.N,1
X121826186251677_X_.N,3
X121879156386219_X_.N,4
X121879156701557_X_.N,0
X121879156968669_X_.N,3
X121879170865501_X_.N,3
X121879171124012_X_.N,4
X121879171549492_X_.N,2
X121879171614646_X_.N,0
X121879183969500_X_.N,2
X121896082781939_X_.N,4
X121896082983332_X_.N,8
X121896094882726_X_.N,3
X121896095333101_X_.N,0
X121896095570732_X_.N,0
X121896095636766_X_.N,0
X121896113727723_X_.N,2
X121896113920796_X_.N,6
X121896114219299_X_.N,1
X121955391782300_X_.N,6
X121955392018331_X_.N,3
X121955392019750_X_.N,6
X121955392374627_X_.N,1
X121955406990574_X_.N,4
X121955407055148_X_.N,3
X121955407318243_X_.N,6
X121955419313963_X_.N,3
X121955437922667_X_.N,2
X121955438455086_X_.N,1
X121955438520092_X_.N,7
X121965726587828_X_.N,6
X121965727037214_X_.N,3
X121965741295475_X_.N,2
X121965741304547_X_.N,13
X121965741488054_X_.N,0
X121965741521333_X_.N,3
X121965741525413_X_.N,3
X121965754042293_X_.N,3
X121965754137894_X_.N,2
X121965754146030_X_.N,3
X121965772986205_X_.N,3
X121965773482219_X_.N,3
X121965773516075_X_.N,3
X121965773543717_X_.N,8
X122282749642987_X_.N,6
X122282776350110_X_.N,9
X122282776577901_X_.N,0
X122282776677732_X_.N,7
X122282795482347_X_.N,1
X122293366680350_X_.N,2
X122293366680884_X_.N,2
X122293367269100_X_.N,0
X122293379291997_X_.N,3
X122293379353518_X_.N,4
X122293379516341_X_.N,2
X122293379616174_X_.N,1
X122293398396323_X_.N,1
X122308384995166_X_.N,4
X122308385204077_X_.N,2
X122308399847652_X_.N,7
X122308411931998_X_.N,0
X122308412205916_X_.N,4
X122308412488926_X_.N,3
X122308431107892_X_.N,3
X122310397745973_X_.N,3
X122310412888435_X_.N,3
X122310425205619_X_.N,2
X122310425241462_X_.N,2
X122310443842806_X_.N,0
X122310444369645_X_.N,8
X122310444669221_X_.N,1
X122428777949981_X_.N,2
X122428777982388_X_.N,2
X122428777983261_X_.N,0
X122428792355755_X_.N,0
X122428805212510_X_.N,2
X122428805278454_X_.N,4
X122428805303006_X_.N,1
X122428805465965_X_.N,11
X122428805466348_X_.N,7
X122428823813421_X_.N,3
X122428823878902_X_.N,6
X122428824116139_X_.N,2
X122436428458213_X_.N,6
X122436428458419_X_.N,0
X122436442839838_X_.N,3
X122436443130157_X_.N,6
X122436455884643_X_.N,2
X122436474267445_X_.N,3
X122436474527011_X_.N,2
X122436474760414_X_.N,3
X122436474813685_X_.N,2
X122436474820404_X_.N,5
X122436475079028_X_.N,0
X122514677815094_X_.N,6
X122514677905268_X_.N,1
X122514692070619_X_.N,11
X122514692265692_X_.N,3
X122514692496820_X_.N,2
X122514705176926_X_.N,3
X122514723237292_X_.N,4
X122514723760038_X_.N,8
X122514723784549_X_.N,1
X122514723788581_X_.N,13
X125042414274933_X_.N,0
X125042427017653_X_.N,2
X125042427647909_X_.N,2
X125042445642139_X_.N,3
X125042445667124_X_.N,3
X125042445700012_X_.N,11
X125042445899557_X_.N,1
X125042445903669_X_.N,1
X125042445937894_X_.N,3
X125197018875828_X_.N,7
X125197033559862_X_.N,2
X125197033888484_X_.N,0
X125197046135078_X_.N,3
X125197064555814_X_.N,1
X125197064723235_X_.N,11
X125197065316597_X_.N,13
X125239699590366_X_.N,7
X125239700175221_X_.N,3
X125239700182750_X_.N,2
X125239727156451_X_.N,2
X125239746312109_X_.N,0
X125239746549989_X_.N,11
X125247349970851_X_.N,3
X125247350495989_X_.N,4
X125247350500653_X_.N,3
X125247350761262_X_.N,1
X125247364712795_X_.N,3
X125247364914587_X_.N,1
X125247364950323_X_.N,0
X125247365176155_X_.N,2
X125247396375332_X_.N,6
X125247396669742_X_.N,0
X125677920439222_X_.N,3
X125677920446699_X_.N,4
X125677920479139_X_.N,3
X125677920806827_X_.N,11
X125677935119796_X_.N,2
X125677935967525_X_.N,4
X125677935970150_X_.N,1
X125677947710774_X_.N,2
X125677967206237_X_.N,1
X125719930956142_X_.N,6
X125719931370420_X_.N,3
X125719945889629_X_.N,1
X125719946114997_X_.N,3
X125719958210484_X_.N,4
X125719976790956_X_.N,2
X125719976995620_X_.N,3
X125719977606508_X_.N,3
X125728252345260_X_.N,0
X125728252869470_X_.N,2
X125728252902302_X_.N,6
X125728267029349_X_.N,6
X125728267037547_X_.N,0
X125728267328859_X_.N,2
X125728267351990_X_.N,3
X125728267618150_X_.N,6
X125728279620515_X_.N,2
X125728298224499_X_.N,3
X125728298265525_X_.N,6
X125728298777460_X_.N,0
X125745298263469_X_.N,0
X125745298337123_X_.N,0
X125745298561325_X_.N,6
X125745312492827_X_.N,6
X125745312714102_X_.N,6
X125745313234206_X_.N,7
X125745325336438_X_.N,4
X125745325337827_X_.N,2
X125745325861091_X_.N,5
X125745325889846_X_.N,3
X125745344138157_X_.N,6
X126132113295660_X_.N,0
X126132113324789_X_.N,11
X126132113852259_X_.N,4
X126132128234859_X_.N,7
X126132128270118_X_.N,3
X126132128700707_X_.N,4
X126132128795355_X_.N,2
X126132159887670_X_.N,0
X126149024758572_X_.N,3
X126149024921453_X_.N,2
X126149024933723_X_.N,0
X126149025028828_X_.N,3
X126149025455325_X_.N,0
X126149039373668_X_.N,4
X126149039873332_X_.N,13
X126149039934180_X_.N,3
X126149039975645_X_.N,6
X126149040171955_X_.N,6
X126149052188909_X_.N,2
X126149052189413_X_.N,3
X126149052479787_X_.N,1
X126149071615790_X_.N,2
X126218818144693_X_.N,1
X126218818414451_X_.N,3
X126218832854262_X_.N,1
X126218832858486_X_.N,0
X126218833446830_X_.N,3
X126218845145956_X_.N,3
X126218845154614_X_.N,2
X126218845481757_X_.N,3
X126227542862627_X_.N,6
X126227556718940_X_.N,0
X126227557038499_X_.N,4
X126227569364315_X_.N,1
X126227588438301_X_.N,2
X126227588769636_X_.N,1
X126293994564381_X_.N,2
X126294007367517_X_.N,0
X126294007396787_X_.N,2
X126294007695771_X_.N,3
X126294026053420_X_.N,3
X126294026271068_X_.N,3
X126294026767286_X_.N,3
X126364041468267_X_.N,0
X126364041795316_X_.N,13
X126364041993014_X_.N,0
X126364056440227_X_.N,2
X126364056729526_X_.N,2
X126364056734125_X_.N,6
X126680929626477_X_.N,2
X126680929855405_X_.N,2
X126680929876190_X_.N,8
X126680944724916_X_.N,0
X126680957143789_X_.N,3
X126680975732021_X_.N,3
X126681600671147_X_.N,9
X126681600674539_X_.N,2
X126681615292771_X_.N,7
X126681615579869_X_.N,3
X126681615911668_X_.N,9
X126681627871606_X_.N,0
X126681627875038_X_.N,2
X126681627937502_X_.N,3
X126681627970974_X_.N,2
X126681628666102_X_.N,1
X126681628694830_X_.N,3
X126681628731102_X_.N,5
X126681647278492_X_.N,1
X126706297026782_X_.N,1
X126706323966693_X_.N,2
X126706324007846_X_.N,3
X126706324749678_X_.N,3
X126706324753324_X_.N,7
X126707773365660_X_.N,0
X126707788114787_X_.N,6
X126707788541171_X_.N,2
X126707800590573_X_.N,3
X126707800685814_X_.N,3
X126707800689374_X_.N,3
X126707801185524_X_.N,3
X126765620911387_X_.N,8
X126765621202213_X_.N,9
X126765621734110_X_.N,2
X126765635852070_X_.N,6
X126765635921651_X_.N,5
X126765648205677_X_.N,3
X126765648210676_X_.N,4
X126765648268006_X_.N,5
X126765648276340_X_.N,2
X126765648996086_X_.N,1
X126765648997604_X_.N,0
X126765667596573_X_.N,4
X126765667662556_X_.N,2
X126776224208667_X_.N,3
X126776224365494_X_.N,12
X126776224737652_X_.N,4
X126776224893806_X_.N,8
X126776239086316_X_.N,2
X126776239349093_X_.N,2
X126776252186035_X_.N,2
X126776270835036_X_.N,3
X126834206195062_X_.N,2
X126834220919086_X_.N,1
X126834221432054_X_.N,3
X126834221443484_X_.N,0
X126834233756573_X_.N,3
X126835145985317_X_.N,8
X126835160471780_X_.N,2
X126835160668908_X_.N,4
X126835160693997_X_.N,2
X126835160922851_X_.N,2
X126835160923508_X_.N,0
X126835160958877_X_.N,3
X126835161156534_X_.N,7
X126835161159412_X_.N,1
X126835161216886_X_.N,2
X126835161258203_X_.N,2
X126835191863590_X_.N,3
X126835192162156_X_.N,1
X126835192380651_X_.N,0
X126836622341997_X_.N,8
X126836622609774_X_.N,6
X126836622616420_X_.N,2
X126836637034355_X_.N,0
X126836649867564_X_.N,2
X126836668282726_X_.N,0
X126885745776547_X_.N,2
X126885760518574_X_.N,3
X126885761243942_X_.N,3
X126885761345846_X_.N,8
X126885773142445_X_.N,2
X126885773363501_X_.N,1
X126885792439083_X_.N,0
X126886685619949_X_.N,2
X126886685620014_X_.N,4
X126886700276460_X_.N,12
X126886731467572_X_.N,8
X126886732323043_X_.N,2
X129457506446174_X_.N,3
X129457506606491_X_.N,6
X129457518959453_X_.N,2
X129457519019883_X_.N,3
X129457538063132_X_.N,6
X129457538095012_X_.N,3
X129497355176171_X_.N,4
X129497369296118_X_.N,6
X129497381685990_X_.N,0
X129497382144244_X_.N,2
X129497400560372_X_.N,4
X129497400764724_X_.N,3
X129497400990045_X_.N,7
X129497401079590_X_.N,4
X129565671470894_X_.N,2
X129565671709413_X_.N,0
X129565672031971_X_.N,4
X129565685828012_X_.N,4
X129565686188262_X_.N,4
X129565698771693_X_.N,2
X129565717588276_X_.N,3
X129565717621662_X_.N,0
X129565717809053_X_.N,4
X129565717847460_X_.N,4
X129565717851059_X_.N,0
X129583013059484_X_.N,1
X129583013386667_X_.N,2
X129583031446837_X_.N,3
X129583031634852_X_.N,3
X129583031736557_X_.N,2
X129583031966053_X_.N,6
X129583032220974_X_.N,0
X129663515872686_X_.N,13
X129663531343141_X_.N,0
X129663543201115_X_.N,2
X129663562069942_X_.N,0
X129663562634997_X_.N,0
X129978391021995_X_.N,2
X129978406137054_X_.N,3
X129978417928029_X_.N,2
X129978418452918_X_.N,3
X129978418748643_X_.N,6
X129978418783966_X_.N,0
X129978437098859_X_.N,7
X129978437332190_X_.N,8
X130057579122076_X_.N,6
X130057606719350_X_.N,0
X130057607210742_X_.N,0
X130057625556900_X_.N,11
X130126447536868_X_.N,3
X130126448323507_X_.N,4
X130126460415203_X_.N,0
X130126460869995_X_.N,2
X130126460892974_X_.N,3
X130126479776107_X_.N,2
X130126479776475_X_.N,7
X130134888535773_X_.N,0
X130134888831899_X_.N,0
X130134888836390_X_.N,2
X130134889392859_X_.N,6
X130134903831835_X_.N,0
X130134903843045_X_.N,1
X130134916581686_X_.N,2
X130134916618603_X_.N,2
X130134934935837_X_.N,2
X130134934993331_X_.N,11
X130134935289204_X_.N,6
X130134935529717_X_.N,6
X130142285191523_X_.N,7
X130142285221299_X_.N,3
X130142286076123_X_.N,4
X130142316641587_X_.N,4
X130142316713773_X_.N,2
X130142317533467_X_.N,12
X130144701405406_X_.N,2
X130144701409566_X_.N,7
X130144714213805_X_.N,2
X130144714574171_X_.N,8
X130184147261804_X_.N,1
X130184161413869_X_.N,3
X130184161442093_X_.N,0
X130184173704941_X_.N,3
X130184173767390_X_.N,2
X130184174520734_X_.N,2
X130184192932782_X_.N,2
X130184193165557_X_.N,7
X130184193391339_X_.N,3
X130184193431340_X_.N,2
X130185503365853_X_.N,0
X130185503366044_X_.N,6
X130185503623013_X_.N,3
X130185503655718_X_.N,7
X130185503665462_X_.N,7
X130185503821043_X_.N,4
X130185503885741_X_.N,2
X130185504086325_X_.N,3
X130185515945307_X_.N,0
X130185516735732_X_.N,2
X130185534789413_X_.N,1
X130185534855389_X_.N,4
X130194212801899_X_.N,2
X130194227738461_X_.N,2
X130194228242349_X_.N,5
X130194240367350_X_.N,1
X130194258999724_X_.N,1
X130194259535582_X_.N,0
X130203877267229_X_.N,4
X130203891219870_X_.N,0
X130203891448109_X_.N,1
X130203903965621_X_.N,6
X130203904005931_X_.N,2
X130203904040172_X_.N,2
X130203922619164_X_.N,2
X130203922683821_X_.N,7
X130529086000054_X_.N,2
X130529132165982_X_.N,3
X130529132408102_X_.N,1
X130529132926693_X_.N,1
X130529133025563_X_.N,0
X130531367730550_X_.N,2
X130531368036659_X_.N,7
X130531382934372_X_.N,7
X130531395234723_X_.N,4
X130531395267500_X_.N,0
X130531395517165_X_.N,6
X130531395750837_X_.N,4
X130531395852715_X_.N,0
X130531413903795_X_.N,2
X130531414166837_X_.N,0
X130531414363443_X_.N,3
X130624783572261_X_.N,2
X130624798218462_X_.N,15
X130624798219060_X_.N,2
X130624810801006_X_.N,0
X130624811129061_X_.N,9
X130624829905245_X_.N,2
X130624830261084_X_.N,2
X130675115415339_X_.N,4
X130675115673332_X_.N,7
X130675130199387_X_.N,9
X130675130358566_X_.N,4
X130675130416421_X_.N,7
X130675142159262_X_.N,0
X130675142187316_X_.N,2
X130675161127774_X_.N,2
X130693115071390_X_.N,8
X130693115071708_X_.N,1
X130693115526517_X_.N,3
X130693127330678_X_.N,2
X130693127429478_X_.N,0
X130693127596382_X_.N,2
X130693127685982_X_.N,0
X130693146261854_X_.N,4
X130736318211870_X_.N,0
X130736318437166_X_.N,7
X130736318540651_X_.N,2
X130736345434486_X_.N,0
X130736345732974_X_.N,3
X130736346226085_X_.N,0
X130736364305709_X_.N,3
X130736364406710_X_.N,2
X130754438155557_X_.N,3
X130754438356387_X_.N,0
X130754438416619_X_.N,3
X130754452245340_X_.N,2
X130754452540141_X_.N,3
X130754464869675_X_.N,3
X130754465119542_X_.N,2
X130754483969443_X_.N,6
X130761015093550_X_.N,3
X130761042357083_X_.N,6
X130761060439787_X_.N,2
X131089713552605_X_.N,2
X131089728464756_X_.N,2
X131089728694643_X_.N,4
X131089728911605_X_.N,8
X131089728980782_X_.N,3
X131089740774619_X_.N,7
X131089741335974_X_.N,2
X131089760406325_X_.N,3
X131089760470876_X_.N,6
X131097900735324_X_.N,2
X131097900738867_X_.N,2
X131097900825501_X_.N,2
X131097916029300_X_.N,6
X131097916201251_X_.N,6
X131097916262190_X_.N,0
X131097928789299_X_.N,0
X131175210498270_X_.N,2
X131175224855270_X_.N,4
X131175224860011_X_.N,0
X131175224919923_X_.N,3
X131175225087782_X_.N,7
X131175225380078_X_.N,3
X131175238228252_X_.N,3
X131175256288494_X_.N,3
X131175256542125_X_.N,2
X131175256569718_X_.N,2
X131175257102747_X_.N,2
X131217354602269_X_.N,3
X131217354812710_X_.N,2
X131217369225966_X_.N,7
X131217381837534_X_.N,0
X131217382324518_X_.N,0
X131217382389662_X_.N,6
X131234266266333_X_.N,0
X131234280925020_X_.N,3
X131234293734750_X_.N,0
X131234294094134_X_.N,0
X131234312145244_X_.N,1
X131234312174963_X_.N,1
X131234312178406_X_.N,0
X131234312407397_X_.N,4
X131242051198372_X_.N,3
X131242051352862_X_.N,3
X131242065312179_X_.N,2
X131242065840557_X_.N,2
X131242066032885_X_.N,0
X131242078129525_X_.N,0
X131242078131958_X_.N,7
X131242078420395_X_.N,6
X131242097031516_X_.N,3
X131242097240476_X_.N,6
X131242097273123_X_.N,2
X131242097589612_X_.N,1
X131293455957406_X_.N,1
X131293470640556_X_.N,0
X131293471165683_X_.N,0
X131293471428014_X_.N,2
X131293484104053_X_.N,0
X131293502420773_X_.N,4
X131293502687148_X_.N,4
X131293502953310_X_.N,2
X131309562423013_X_.N,4
X131309577386356_X_.N,2
X131309577562419_X_.N,9
X131309589419812_X_.N,3
X131309590141740_X_.N,2
X131309608295206_X_.N,8
X131309608790948_X_.N,6
X131309608818461_X_.N,6
X131309609077108_X_.N,3
X131310502393773_X_.N,6
X131310516849902_X_.N,4
X131310516911324_X_.N,5
X131310529133917_X_.N,3
X131310529165684_X_.N,8
X131310548564715_X_.N,9
X133829902880037_X_.N,2
X133829902939955_X_.N,1
X133829903365940_X_.N,9
X133829903407405_X_.N,2
X133829917333283_X_.N,3
X133829929945524_X_.N,2
X133829949286702_X_.N,0
X133829949602653_X_.N,7
X133854464695542_X_.N,2
X133854479637723_X_.N,2
X133854491757915_X_.N,7
X133854491982196_X_.N,3
X133854492485340_X_.N,0
X133854511426859_X_.N,2
X133895266879405_X_.N,2
X133895266912997_X_.N,8
X133895313021363_X_.N,6
X133895313025380_X_.N,3
X133895313091486_X_.N,6
X133974589359925_X_.N,6
X133974589853036_X_.N,3
X133974589885276_X_.N,6
X133974590142884_X_.N,2
X133974604045021_X_.N,1
X133974604077284_X_.N,7
X133974604242278_X_.N,2
X133974616557942_X_.N,2
X133974616623838_X_.N,0
X133974617110822_X_.N,3
X133974617377182_X_.N,0
X133974617413878_X_.N,3
X133974635764134_X_.N,4
X133974636256043_X_.N,0
X133982105855715_X_.N,2
X133982106041779_X_.N,2
X133982106335091_X_.N,3
X133982132783462_X_.N,11
X133982133082534_X_.N,0
X133982133283741_X_.N,8
X133982152153437_X_.N,6
X134033645169965_X_.N,6
X134033645680557_X_.N,7
X134033672395060_X_.N,7
X134033691293996_X_.N,0
X134033691597037_X_.N,0
X134033691851635_X_.N,0
X134033692048107_X_.N,6
X134041161382813_X_.N,4
X134041161619236_X_.N,3
X134041162135918_X_.N,13
X134041175996268_X_.N,7
X134041176497371_X_.N,7
X134041176856795_X_.N,7
X134041207692019_X_.N,2
X134041207756531_X_.N,6
X134041208048347_X_.N,0
X134376303020332_X_.N,2
X134376303220587_X_.N,3
X134376330218739_X_.N,6
X134376330222877_X_.N,2
X134376330578268_X_.N,0
X134376330774772_X_.N,6
X134376330848107_X_.N,3
X134376349187443_X_.N,2
X134376349616029_X_.N,3
X134377511446387_X_.N,0
X134377525668637_X_.N,2
X134377538963883_X_.N,2
X134377539037411_X_.N,7
X134377557120747_X_.N,3
X134447975811315_X_.N,3
X134447976070430_X_.N,4
X134447990167909_X_.N,3
X134447990430949_X_.N,6
X134448022174443_X_.N,2
X134448022174939_X_.N,6
X134472805566764_X_.N,12
X134472805771126_X_.N,1
X134472806063540_X_.N,3
X134472820710708_X_.N,4
X134472820999965_X_.N,1
X134472832765171_X_.N,3
X134472833064245_X_.N,7
X134472851671403_X_.N,3
X134472851973979_X_.N,0
X134472852171109_X_.N,2
X134522332662502_X_.N,2
X134522346555318_X_.N,0
X134522346618270_X_.N,2
X134522346847469_X_.N,0
X134522347154211_X_.N,1
X134522347338612_X_.N,2
X134522359167398_X_.N,3
X134522359471342_X_.N,1
X134522359994718_X_.N,0
X134522377977139_X_.N,0
X134522378053918_X_.N,3
X134522378603227_X_.N,2
X134522378771877_X_.N,15
X134522378835676_X_.N,2
X134522378860790_X_.N,0
X134530788092333_X_.N,4
X134530788183283_X_.N,2
X134530802767588_X_.N,1
X134530802861931_X_.N,9
X134530815617332_X_.N,2
X134530833771748_X_.N,6
X134530833995684_X_.N,6
X134531727349686_X_.N,5
X134531727441309_X_.N,3
X134531727869787_X_.N,3
X134531741824868_X_.N,3
X134531741833643_X_.N,2
X134531742055670_X_.N,2
X134531742059894_X_.N,2
X134531742087022_X_.N,15
X134531742353261_X_.N,3
X134531742653852_X_.N,3
X134531773315500_X_.N,0
X134531773491622_X_.N,0
X134539645994739_X_.N,0
X134539646262628_X_.N,2
X134539646553331_X_.N,1
X134539660971236_X_.N,2
X134539660975398_X_.N,2
X134539673299364_X_.N,2
X134539692173100_X_.N,3
X134539692662044_X_.N,6
X134540451794284_X_.N,2
X134540452022621_X_.N,1
X134540452088165_X_.N,0
X134540466014574_X_.N,1
X134540466538716_X_.N,3
X134540478559981_X_.N,2
X134540478597939_X_.N,13
X134540478798619_X_.N,4
X134540479052075_X_.N,6
X134540497677037_X_.N,3
X134540497698078_X_.N,0
X134592125130525_X_.N,0
X134592125659995_X_.N,8
X134592125684979_X_.N,0
X134592125942070_X_.N,0
X134592140065205_X_.N,3
X134592140588918_X_.N,7
X134592152652140_X_.N,3
X134592171460980_X_.N,1
X134592171498411_X_.N,4
X134592171526501_X_.N,3
X134592171526901_X_.N,6
X134592171752308_X_.N,0
X134600580873117_X_.N,15
X134600581311789_X_.N,6
X134600595519276_X_.N,4
X134600595524892_X_.N,1
X134600596285803_X_.N,4
X134600608147870_X_.N,2
X134600608594669_X_.N,0
X134936662788509_X_.N,1
X134936676690156_X_.N,6
X134936676984604_X_.N,6
X134936677497590_X_.N,3
X134936689589542_X_.N,11
X134936689794403_X_.N,7
X134936689797411_X_.N,2
X134936708110707_X_.N,3
X134936708724653_X_.N,0
X134936708921075_X_.N,2
X134938004703156_X_.N,2
X134938018835230_X_.N,2
X134938019186989_X_.N,3
X134938032266547_X_.N,3
X134938051112308_X_.N,6
X135014240697139_X_.N,2
X135014267148068_X_.N,8
X135014267180899_X_.N,0
X135014267439838_X_.N,2
X135014267448611_X_.N,3
X135014267602797_X_.N,7
X135014267931886_X_.N,3
X135064437348700_X_.N,6
X135064437582619_X_.N,4
X135064452787444_X_.N,2
X135064483712349_X_.N,2
X135081886104365_X_.N,3
X135081886116708_X_.N,2
X135081886149539_X_.N,6
X135081913169710_X_.N,0
X135081913182004_X_.N,0
X135081913640814_X_.N,1
X135081913662686_X_.N,3
X135081931795307_X_.N,15
X135081931954979_X_.N,4
X135081931959076_X_.N,2
X135081932016949_X_.N,14
X135081932307828_X_.N,6
X135081932318430_X_.N,0
X135081932568822_X_.N,2
X135149143840995_X_.N,7
X135149156679006_X_.N,3
X135149175594334_X_.N,2
X135150471141156_X_.N,3
X135150471329581_X_.N,5
X135150471395245_X_.N,2
X135150471407413_X_.N,3
X135150486308637_X_.N,2
X135150498700509_X_.N,6
X135150498856229_X_.N,8
X135150498900398_X_.N,2
X135150517540660_X_.N,7
X135571511929691_X_.N,1
X135571512126758_X_.N,3
X135571512441205_X_.N,2
X135571526863222_X_.N,8
X135571527056228_X_.N,0
X135571527289782_X_.N,6
X135571539192228_X_.N,0
X135571539417907_X_.N,0
X135571539454684_X_.N,4
X135571558513524_X_.N,2
X135699958290668_X_.N,0
X135699958806901_X_.N,8
X135699959003942_X_.N,2
X135699972906412_X_.N,0
X135699972970205_X_.N,4
X135699973192117_X_.N,0
X135699973233883_X_.N,8
X135699973692764_X_.N,0
X135699973696862_X_.N,0
X135699973752750_X_.N,0
X135700004395292_X_.N,4
X135700005141227_X_.N,3
X135700005178155_X_.N,2
X155842549860212_X_.N,2
X155842550066020_X_.N,8
X155842564214195_X_.N,6
X155842564811997_X_.N,6
X155842565060843_X_.N,3
X155842565064622_X_.N,3
X155842596256678_X_.N,8
X155842596457269_X_.N,3
X155842596460766_X_.N,2
X155842596489500_X_.N,0
X155888854719285_X_.N,0
X155888869625059_X_.N,7
X155888869885805_X_.N,2
X155888870082419_X_.N,0
X155888870092197_X_.N,7
X155888882173798_X_.N,1
X155888882503078_X_.N,0
X155888901548398_X_.N,3
X155888901569259_X_.N,6
X155911403235046_X_.N,0
X155911403554606_X_.N,0
X155911404010278_X_.N,1
X155911404018547_X_.N,6
X155911417936286_X_.N,1
X155911417944862_X_.N,7
X155911417969958_X_.N,1
X155911418140454_X_.N,8
X155911418235110_X_.N,3
X155911418402667_X_.N,0
X155911430552358_X_.N,2
X155911449332149_X_.N,2
X155971398588150_X_.N,0
X155971398842158_X_.N,0
X155971413240748_X_.N,3
X155971413564710_X_.N,6
X155971414084979_X_.N,2
X155971426405093_X_.N,12
X155971426674483_X_.N,13
X155972606474667_X_.N,4
X155972606834595_X_.N,0
X155972621724980_X_.N,1
X155972633745821_X_.N,2
X155972652952363_X_.N,3
X156024146873068_X_.N,2
X156024146914101_X_.N,1
X156024160799462_X_.N,11
X156024161090923_X_.N,7
X156024161123179_X_.N,2
X156024173976797_X_.N,7
X156024192559915_X_.N,2
X156024192808692_X_.N,2
X156024193043172_X_.N,2
X156453508930996_X_.N,11
X156453523536310_X_.N,0
X156453535894324_X_.N,8
X156453535923419_X_.N,3
X156453536454564_X_.N,11
X156453555301278_X_.N,1
X156463306521325_X_.N,2
X156463321209582_X_.N,4
X156463321274717_X_.N,2
X156463321959836_X_.N,0
X156463334541622_X_.N,3
X156463352932660_X_.N,3
X156463353490212_X_.N,4
X156463353518363_X_.N,3
X156515920177069_X_.N,4
X156515920637157_X_.N,4
X156515920689518_X_.N,0
X156515934521693_X_.N,7
X156515947899188_X_.N,3
X156515947927836_X_.N,13
X156515965983662_X_.N,2
X156515966078246_X_.N,3
X156515966831861_X_.N,0
X156933471296733_X_.N,0
X156933471717285_X_.N,10
