gene,sample_id,count
GENE_0000,S01,5
GENE_0259,S01,141
GENE_0117,S01,28
GENE_0480,S01,13
GENE_0010,S01,3
GENE_0099,S01,107
GENE_0449,S01,2
GENE_0149,S01,1
GENE_0165,S01,44
GENE_0262,S01,99
GENE_0407,S01,69
GENE_0388,S01,31
GENE_0443,S01,33
GENE_0127,S01,28
GENE_0055,S01,48
GENE_0363,S01,11
GENE_0455,S01,7
GENE_0145,S01,13
GENE_0346,S01,4
GENE_0436,S01,7
GENE_0168,S01,2
GENE_0288,S01,11
GENE_0252,S01,7
GENE_0142,S01,6
GENE_0089,S01,17
GENE_0051,S01,53
GENE_0413,S01,37
GENE_0177,S01,3
GENE_0240,S01,7
GENE_0478,S01,26
GENE_0186,S01,5
GENE_0088,S01,37
GENE_0439,S01,64
GENE_0344,S01,10
GENE_0007,S01,13
GENE_0411,S01,5
GENE_0105,S01,4
GENE_0429,S01,16
GENE_0256,S01,0
GENE_0394,S01,18
GENE_0140,S01,13
GENE_0203,S01,19
GENE_0098,S01,15
GENE_0376,S01,87
GENE_0064,S01,8
GENE_0497,S01,6
GENE_0481,S01,17
GENE_0498,S01,13
GENE_0215,S01,15
GENE_0431,S01,10
GENE_0017,S01,5
GENE_0491,S01,9
GENE_0235,S01,3
GENE_0368,S01,35
GENE_0173,S01,5
GENE_0009,S01,4
GENE_0311,S01,6
GENE_0412,S01,25
GENE_0257,S01,3
GENE_0006,S01,29
GENE_0357,S01,6
GENE_0094,S01,28
GENE_0199,S01,1
GENE_0156,S01,64
GENE_0396,S01,1
GENE_0014,S01,8
GENE_0392,S01,84
GENE_0263,S01,12
GENE_0325,S01,12
GENE_0056,S01,4
GENE_0139,S01,31
GENE_0330,S01,6
GENE_0131,S01,38
GENE_0451,S01,113
GENE_0332,S01,10
GENE_0083,S01,2
GENE_0494,S01,8
GENE_0425,S01,107
GENE_0041,S01,3
GENE_0220,S01,76
GENE_0211,S01,65
GENE_0176,S01,5
GENE_0418,S01,23
GENE_0345,S01,77
GENE_0193,S01,10
GENE_0472,S01,5
GENE_0393,S01,12
GENE_0106,S01,4
GENE_0121,S01,9
GENE_0050,S01,2
GENE_0024,S01,17
GENE_0073,S01,3
GENE_0266,S01,16
GENE_0184,S01,1
GENE_0124,S01,8
GENE_0016,S01,34
GENE_0214,S01,0
GENE_0379,S01,18
GENE_0082,S01,44
GENE_0002,S01,2
GENE_0369,S01,53
GENE_0047,S01,11
GENE_0338,S01,1
GENE_0243,S01,7
GENE_0180,S01,23
GENE_0422,S01,16
GENE_0223,S01,9
GENE_0197,S01,7
GENE_0342,S01,16
GENE_0013,S01,4
GENE_0434,S01,12
GENE_0273,S01,4
GENE_0227,S01,5
GENE_0078,S01,30
GENE_0362,S01,41
GENE_0380,S01,19
GENE_0271,S01,2
GENE_0115,S01,7
GENE_0441,S01,54
GENE_0459,S01,11
GENE_0077,S01,93
GENE_0011,S01,31
GENE_0063,S01,6
GENE_0493,S01,9
GENE_0226,S01,13
GENE_0060,S01,23
GENE_0181,S01,43
GENE_0261,S01,38
GENE_0040,S01,6
GENE_0294,S01,1
GENE_0092,S01,2
GENE_0410,S01,22
GENE_0485,S01,1
GENE_0255,S01,1
GENE_0192,S01,19
GENE_0377,S01,99
GENE_0042,S01,10
GENE_0486,S01,19
GENE_0290,S01,16
GENE_0421,S01,12
GENE_0295,S01,36
GENE_0154,S01,11
GENE_0072,S01,13
GENE_0438,S01,13
GENE_0287,S01,11
GENE_0384,S01,17
GENE_0414,S01,11
GENE_0195,S01,3
GENE_0103,S01,19
GENE_0185,S01,9
GENE_0171,S01,14
GENE_0364,S01,9
GENE_0458,S01,50
GENE_0479,S01,23
GENE_0352,S01,3
GENE_0303,S01,60
GENE_0034,S01,58
GENE_0150,S01,18
GENE_0015,S01,11
GENE_0035,S01,7
GENE_0339,S01,6
GENE_0182,S01,10
GENE_0175,S01,10
GENE_0467,S01,5
GENE_0314,S01,18
GENE_0132,S01,11
GENE_0107,S01,16
GENE_0019,S01,41
GENE_0403,S01,17
GENE_0484,S01,1
GENE_0483,S01,4
GENE_0219,S01,15
GENE_0471,S01,3
GENE_0057,S01,20
GENE_0170,S01,82
GENE_0218,S01,39
GENE_0430,S01,11
GENE_0065,S01,66
GENE_0337,S01,15
GENE_0301,S01,12
GENE_0336,S01,4
GENE_0277,S01,12
GENE_0191,S01,9
GENE_0003,S01,19
GENE_0474,S01,20
GENE_0084,S01,9
GENE_0085,S01,23
GENE_0190,S01,40
GENE_0194,S01,20
GENE_0432,S01,1
GENE_0167,S01,1
GENE_0108,S01,26
GENE_0080,S01,3
GENE_0267,S01,10
GENE_0102,S01,6
GENE_0225,S01,2
GENE_0444,S01,22
GENE_0116,S01,42
GENE_0296,S01,1
GENE_0323,S01,2
GENE_0143,S01,2
GENE_0489,S01,25
GENE_0307,S01,3
GENE_0031,S01,18
GENE_0285,S01,20
GENE_0419,S01,27
GENE_0487,S01,14
GENE_0395,S01,7
GENE_0053,S01,43
GENE_0234,S01,11
GENE_0097,S01,11
GENE_0222,S01,14
GENE_0464,S01,5
GENE_0387,S01,4
GENE_0374,S01,8
GENE_0158,S01,52
GENE_0118,S01,4
GENE_0268,S01,5
GENE_0275,S01,48
GENE_0067,S01,13
GENE_0358,S01,3
GENE_0260,S01,33
GENE_0026,S01,5
GENE_0381,S01,56
GENE_0095,S01,28
GENE_0456,S01,9
GENE_0463,S01,83
GENE_0468,S01,5
GENE_0448,S01,30
GENE_0401,S01,26
GENE_0242,S01,29
GENE_0114,S01,49
GENE_0331,S01,8
GENE_0469,S01,1
GENE_0324,S01,18
GENE_0045,S01,3
GENE_0074,S01,81
GENE_0354,S01,20
GENE_0397,S01,11
GENE_0328,S01,3
GENE_0136,S01,3
GENE_0224,S01,7
GENE_0391,S01,38
GENE_0076,S01,10
GENE_0361,S01,13
GENE_0405,S01,26
GENE_0329,S01,44
GENE_0428,S01,36
GENE_0280,S01,34
GENE_0402,S01,3
GENE_0246,S01,2
GENE_0327,S01,46
GENE_0087,S01,8
GENE_0229,S01,8
GENE_0258,S01,56
GENE_0187,S01,17
GENE_0141,S01,18
GENE_0488,S01,60
GENE_0450,S01,7
GENE_0020,S01,74
GENE_0426,S01,11
GENE_0251,S01,17
GENE_0238,S01,72
GENE_0023,S01,26
GENE_0371,S01,17
GENE_0299,S01,31
GENE_0300,S01,13
GENE_0036,S01,6
GENE_0499,S01,6
GENE_0283,S01,1
GENE_0382,S01,97
GENE_0179,S01,3
GENE_0113,S01,12
GENE_0482,S01,13
GENE_0446,S01,10
GENE_0178,S01,26
GENE_0375,S01,15
GENE_0069,S01,12
GENE_0404,S01,11
GENE_0163,S01,11
GENE_0442,S01,11
GENE_0409,S01,55
GENE_0046,S01,18
GENE_0465,S01,25
GENE_0161,S01,26
GENE_0291,S01,16
GENE_0424,S01,22
GENE_0128,S01,2
GENE_0408,S01,17
GENE_0135,S01,6
GENE_0236,S01,3
GENE_0043,S01,12
GENE_0174,S01,33
GENE_0138,S01,15
GENE_0166,S01,34
GENE_0400,S01,85
GENE_0415,S01,20
GENE_0272,S01,213
GENE_0204,S01,28
GENE_0210,S01,4
GENE_0353,S01,9
GENE_0312,S01,11
GENE_0198,S01,47
GENE_0096,S01,28
GENE_0093,S01,10
GENE_0101,S01,5
GENE_0269,S01,20
GENE_0447,S01,5
GENE_0059,S01,4
GENE_0297,S01,23
GENE_0153,S01,77
GENE_0490,S01,22
GENE_0433,S01,2
GENE_0109,S01,25
GENE_0110,S01,30
GENE_0340,S01,7
GENE_0039,S01,13
GENE_0147,S01,9
GENE_0466,S01,7
GENE_0151,S01,20
GENE_0292,S01,4
GENE_0416,S01,8
GENE_0435,S01,3
GENE_0308,S01,9
GENE_0159,S01,31
GENE_0253,S01,11
GENE_0341,S01,93
GENE_0457,S01,8
GENE_0333,S01,22
GENE_0316,S01,30
GENE_0028,S01,5
GENE_0319,S01,2
GENE_0278,S01,2
GENE_0370,S01,52
GENE_0217,S01,14
GENE_0091,S01,148
GENE_0086,S01,5
GENE_0343,S01,19
GENE_0356,S02,3
GENE_0233,S02,8
GENE_0232,S02,70
GENE_0160,S02,24
GENE_0049,S02,4
GENE_0245,S02,29
GENE_0130,S02,38
GENE_0477,S02,18
GENE_0054,S02,9
GENE_0427,S02,8
GENE_0349,S02,26
GENE_0018,S02,19
GENE_0207,S02,43
GENE_0282,S02,23
GENE_0298,S02,22
GENE_0004,S02,8
GENE_0241,S02,46
GENE_0265,S02,10
GENE_0249,S02,69
GENE_0126,S02,1
GENE_0385,S02,67
GENE_0310,S02,10
GENE_0276,S02,4
GENE_0070,S02,3
GENE_0306,S02,9
GENE_0201,S02,15
GENE_0075,S02,22
GENE_0239,S02,0
GENE_0172,S02,10
GENE_0417,S02,113
GENE_0318,S02,66
GENE_0029,S02,24
GENE_0475,S02,15
GENE_0071,S02,10
GENE_0347,S02,28
GENE_0350,S02,5
GENE_0033,S02,9
GENE_0021,S02,2
GENE_0437,S02,18
GENE_0037,S02,17
GENE_0452,S02,8
GENE_0492,S02,62
GENE_0423,S02,2
GENE_0001,S02,2
GENE_0309,S02,12
GENE_0317,S02,41
GENE_0044,S02,59
GENE_0209,S02,7
GENE_0228,S02,38
GENE_0030,S02,13
GENE_0058,S02,18
GENE_0164,S02,31
GENE_0022,S02,23
GENE_0038,S02,1
GENE_0372,S02,62
GENE_0100,S02,50
GENE_0119,S02,15
GENE_0146,S02,17
GENE_0148,S02,26
GENE_0322,S02,12
GENE_0389,S02,9
GENE_0390,S02,7
GENE_0420,S02,11
GENE_0066,S02,29
GENE_0279,S02,21
GENE_0090,S02,4
GENE_0129,S02,23
GENE_0205,S02,0
GENE_0125,S02,41
GENE_0453,S02,0
GENE_0473,S02,17
GENE_0367,S02,8
GENE_0304,S02,2
GENE_0122,S02,25
GENE_0032,S02,10
GENE_0208,S02,30
GENE_0012,S02,12
GENE_0335,S02,21
GENE_0321,S02,8
GENE_0360,S02,6
GENE_0111,S02,24
GENE_0079,S02,5
GENE_0373,S02,0
GENE_0144,S02,6
GENE_0155,S02,34
GENE_0196,S02,37
GENE_0302,S02,13
GENE_0254,S02,15
GENE_0461,S02,15
GENE_0454,S02,78
GENE_0237,S02,24
GENE_0383,S02,26
GENE_0206,S02,19
GENE_0355,S02,10
GENE_0320,S02,12
GENE_0183,S02,14
GENE_0188,S02,8
GENE_0230,S02,13
GENE_0378,S02,27
GENE_0406,S02,13
GENE_0213,S02,38
GENE_0008,S02,9
GENE_0293,S02,12
GENE_0496,S02,0
GENE_0348,S02,18
GENE_0104,S02,9
GENE_0313,S02,30
GENE_0081,S02,0
GENE_0289,S02,96
GENE_0212,S02,1
GENE_0476,S02,48
GENE_0359,S02,7
GENE_0068,S02,31
GENE_0399,S02,2
GENE_0216,S02,7
GENE_0305,S02,87
GENE_0048,S02,5
GENE_0366,S02,11
GENE_0112,S02,24
GENE_0133,S02,13
GENE_0005,S02,18
GENE_0169,S02,27
GENE_0495,S02,134
GENE_0200,S02,14
GENE_0445,S02,13
GENE_0248,S02,35
GENE_0264,S02,53
GENE_0351,S02,24
GENE_0137,S02,19
GENE_0274,S02,6
GENE_0120,S02,66
GENE_0152,S02,4
GENE_0250,S02,6
GENE_0326,S02,4
GENE_0386,S02,8
GENE_0052,S02,14
GENE_0398,S02,13
GENE_0365,S02,23
GENE_0281,S02,74
GENE_0440,S02,18
GENE_0202,S02,8
GENE_0134,S02,35
GENE_0027,S02,32
GENE_0460,S02,6
GENE_0247,S02,26
GENE_0231,S02,25
GENE_0061,S02,9
GENE_0286,S02,47
GENE_0162,S02,8
GENE_0270,S02,6
GENE_0157,S02,12
GENE_0315,S02,15
GENE_0062,S02,8
GENE_0244,S02,1
GENE_0123,S02,55
GENE_0470,S02,4
GENE_0462,S02,4
GENE_0284,S02,1
GENE_0025,S02,7
GENE_0221,S02,3
GENE_0189,S02,51
GENE_0334,S02,44
GENE_0000,S02,9
GENE_0259,S02,124
GENE_0117,S02,32
GENE_0480,S02,10
GENE_0010,S02,0
GENE_0099,S02,148
GENE_0449,S02,0
GENE_0149,S02,0
GENE_0165,S02,30
GENE_0262,S02,168
GENE_0407,S02,48
GENE_0388,S02,25
GENE_0443,S02,19
GENE_0127,S02,25
GENE_0055,S02,23
GENE_0363,S02,20
GENE_0455,S02,17
GENE_0145,S02,13
GENE_0346,S02,6
GENE_0436,S02,7
GENE_0168,S02,2
GENE_0288,S02,10
GENE_0252,S02,1
GENE_0142,S02,5
GENE_0089,S02,13
GENE_0051,S02,50
GENE_0413,S02,25
GENE_0177,S02,4
GENE_0240,S02,0
GENE_0478,S02,19
GENE_0186,S02,6
GENE_0088,S02,7
GENE_0439,S02,17
GENE_0344,S02,5
GENE_0007,S02,9
GENE_0411,S02,6
GENE_0105,S02,4
GENE_0429,S02,22
GENE_0256,S02,1
GENE_0394,S02,12
GENE_0140,S02,19
GENE_0203,S02,19
GENE_0098,S02,10
GENE_0376,S02,57
GENE_0064,S02,11
GENE_0497,S02,2
GENE_0481,S02,16
GENE_0498,S02,25
GENE_0215,S02,16
GENE_0431,S02,8
GENE_0017,S02,5
GENE_0491,S02,7
GENE_0235,S02,5
GENE_0368,S02,80
GENE_0173,S02,6
GENE_0009,S02,6
GENE_0311,S02,6
GENE_0412,S02,43
GENE_0257,S02,11
GENE_0006,S02,37
GENE_0357,S02,3
GENE_0094,S02,18
GENE_0199,S02,9
GENE_0156,S02,106
GENE_0396,S02,7
GENE_0014,S02,16
GENE_0392,S02,31
GENE_0263,S02,16
GENE_0325,S02,14
GENE_0056,S02,14
GENE_0139,S02,11
GENE_0330,S02,6
GENE_0131,S02,29
GENE_0451,S02,86
GENE_0332,S02,6
GENE_0083,S02,4
GENE_0494,S02,16
GENE_0425,S02,150
GENE_0041,S02,3
GENE_0220,S02,62
GENE_0211,S02,63
GENE_0176,S02,9
GENE_0418,S02,30
GENE_0345,S02,59
GENE_0193,S02,11
GENE_0472,S02,15
GENE_0393,S02,7
GENE_0106,S02,3
GENE_0121,S02,13
GENE_0050,S02,1
GENE_0024,S02,7
GENE_0073,S02,5
GENE_0266,S02,15
GENE_0184,S02,1
GENE_0124,S02,17
GENE_0016,S02,38
GENE_0214,S02,0
GENE_0379,S02,14
GENE_0082,S02,69
GENE_0002,S02,3
GENE_0369,S02,42
GENE_0047,S02,19
GENE_0338,S02,5
GENE_0243,S02,9
GENE_0180,S02,30
GENE_0422,S02,12
GENE_0223,S02,19
GENE_0197,S02,8
GENE_0342,S02,22
GENE_0013,S02,3
GENE_0434,S02,13
GENE_0273,S02,2
GENE_0227,S02,2
GENE_0078,S02,43
GENE_0362,S02,25
GENE_0380,S02,29
GENE_0271,S02,2
GENE_0115,S02,6
GENE_0441,S02,53
GENE_0459,S02,5
GENE_0077,S02,139
GENE_0011,S02,22
GENE_0063,S02,22
GENE_0493,S02,8
GENE_0226,S02,14
GENE_0060,S02,3
GENE_0181,S02,27
GENE_0261,S02,39
GENE_0040,S02,6
GENE_0294,S02,9
GENE_0092,S02,3
GENE_0410,S02,25
GENE_0485,S02,4
GENE_0255,S02,1
GENE_0192,S02,14
GENE_0377,S02,166
GENE_0042,S02,17
GENE_0486,S02,26
GENE_0290,S02,24
GENE_0421,S02,12
GENE_0295,S02,24
GENE_0154,S02,12
GENE_0072,S02,11
GENE_0438,S02,12
GENE_0287,S02,5
GENE_0384,S02,42
GENE_0414,S02,11
GENE_0195,S02,2
GENE_0103,S02,15
GENE_0185,S02,3
GENE_0171,S02,13
GENE_0364,S02,12
GENE_0458,S02,39
GENE_0479,S02,13
GENE_0352,S02,11
GENE_0303,S02,24
GENE_0034,S02,33
GENE_0150,S02,17
GENE_0015,S02,9
GENE_0035,S02,2
GENE_0339,S02,5
GENE_0182,S02,6
GENE_0175,S02,3
GENE_0467,S02,13
GENE_0314,S02,9
GENE_0132,S02,17
GENE_0107,S02,12
GENE_0019,S02,13
GENE_0403,S02,6
GENE_0484,S02,2
GENE_0483,S02,3
GENE_0219,S02,13
GENE_0471,S02,1
GENE_0057,S02,36
GENE_0170,S02,24
GENE_0218,S02,39
GENE_0430,S02,7
GENE_0065,S02,74
GENE_0337,S02,26
GENE_0301,S02,6
GENE_0336,S02,4
GENE_0277,S02,7
GENE_0191,S02,9
GENE_0003,S02,9
GENE_0474,S02,9
GENE_0084,S02,17
GENE_0085,S02,18
GENE_0190,S02,27
GENE_0194,S02,43
GENE_0432,S02,2
GENE_0167,S02,1
GENE_0108,S02,29
GENE_0080,S02,2
GENE_0267,S02,16
GENE_0102,S02,4
GENE_0225,S02,1
GENE_0444,S02,22
GENE_0116,S02,17
GENE_0296,S02,5
GENE_0323,S02,1
GENE_0143,S02,12
GENE_0489,S02,32
GENE_0307,S02,3
GENE_0031,S02,15
GENE_0285,S02,12
GENE_0419,S02,21
GENE_0487,S02,6
GENE_0395,S02,4
GENE_0053,S02,39
GENE_0234,S02,9
GENE_0097,S02,16
GENE_0222,S02,5
GENE_0464,S02,10
GENE_0387,S02,3
GENE_0374,S02,11
GENE_0158,S02,42
GENE_0118,S02,1
GENE_0268,S02,5
GENE_0275,S02,56
GENE_0067,S02,9
GENE_0358,S02,10
GENE_0260,S02,28
GENE_0026,S02,5
GENE_0381,S02,119
GENE_0095,S02,27
GENE_0456,S02,6
GENE_0463,S02,95
GENE_0468,S02,1
GENE_0448,S02,37
GENE_0401,S02,13
GENE_0242,S02,62
GENE_0114,S02,40
GENE_0331,S02,16
GENE_0469,S02,3
GENE_0324,S02,34
GENE_0045,S02,18
GENE_0074,S02,87
GENE_0354,S02,10
GENE_0397,S02,12
GENE_0328,S02,16
GENE_0136,S02,1
GENE_0224,S02,3
GENE_0391,S02,24
GENE_0076,S02,7
GENE_0361,S02,7
GENE_0405,S02,20
GENE_0329,S02,23
GENE_0428,S02,32
GENE_0280,S02,37
GENE_0402,S02,5
GENE_0246,S02,5
GENE_0327,S02,50
GENE_0087,S02,12
GENE_0229,S02,7
GENE_0258,S02,58
GENE_0187,S02,20
GENE_0141,S02,29
GENE_0488,S02,94
GENE_0450,S02,9
GENE_0020,S02,30
GENE_0426,S02,8
GENE_0251,S02,13
GENE_0238,S02,73
GENE_0023,S02,32
GENE_0371,S02,14
GENE_0299,S02,28
GENE_0300,S02,10
GENE_0036,S02,4
GENE_0499,S02,2
GENE_0283,S02,1
GENE_0382,S02,96
GENE_0179,S02,2
GENE_0113,S02,6
GENE_0482,S02,13
GENE_0446,S02,18
GENE_0178,S02,35
GENE_0375,S02,28
GENE_0069,S02,7
GENE_0404,S02,13
GENE_0163,S02,11
GENE_0442,S02,11
GENE_0409,S02,74
GENE_0046,S02,17
GENE_0465,S02,22
GENE_0161,S02,28
GENE_0291,S02,55
GENE_0424,S02,17
GENE_0128,S02,1
GENE_0408,S02,28
GENE_0135,S02,6
GENE_0236,S02,6
GENE_0043,S02,23
GENE_0174,S02,38
GENE_0138,S02,16
GENE_0166,S02,13
GENE_0400,S02,52
GENE_0415,S02,16
GENE_0272,S02,138
GENE_0204,S02,32
GENE_0210,S02,3
GENE_0353,S02,32
GENE_0312,S02,14
GENE_0198,S02,43
GENE_0096,S02,22
GENE_0093,S02,3
GENE_0101,S02,1
GENE_0269,S02,10
GENE_0447,S02,14
GENE_0059,S02,4
GENE_0297,S02,18
GENE_0153,S02,60
GENE_0490,S02,6
GENE_0433,S02,6
GENE_0109,S02,17
GENE_0110,S02,28
GENE_0340,S02,12
GENE_0039,S02,10
GENE_0147,S02,9
GENE_0466,S02,3
GENE_0151,S02,17
GENE_0292,S02,7
GENE_0416,S02,19
GENE_0435,S02,4
GENE_0308,S02,9
GENE_0159,S02,20
GENE_0253,S02,3
GENE_0341,S02,47
GENE_0457,S02,4
GENE_0333,S02,16
GENE_0316,S02,40
GENE_0028,S02,4
GENE_0319,S02,5
GENE_0278,S02,3
GENE_0370,S02,60
GENE_0217,S02,13
GENE_0091,S02,170
GENE_0086,S02,7
GENE_0343,S02,21
GENE_0356,S03,3
GENE_0233,S03,10
GENE_0232,S03,68
GENE_0160,S03,18
GENE_0049,S03,7
GENE_0245,S03,52
GENE_0130,S03,35
GENE_0477,S03,47
GENE_0054,S03,16
GENE_0427,S03,13
GENE_0349,S03,21
GENE_0018,S03,27
GENE_0207,S03,26
GENE_0282,S03,18
GENE_0298,S03,37
GENE_0004,S03,2
GENE_0241,S03,45
GENE_0265,S03,10
GENE_0249,S03,113
GENE_0126,S03,6
GENE_0385,S03,75
GENE_0310,S03,20
GENE_0276,S03,4
GENE_0070,S03,12
GENE_0306,S03,8
GENE_0201,S03,19
GENE_0075,S03,29
GENE_0239,S03,10
GENE_0172,S03,26
GENE_0417,S03,67
GENE_0318,S03,81
GENE_0029,S03,8
GENE_0475,S03,14
GENE_0071,S03,15
GENE_0347,S03,13
GENE_0350,S03,8
GENE_0033,S03,9
GENE_0021,S03,6
GENE_0437,S03,19
GENE_0037,S03,22
GENE_0452,S03,12
GENE_0492,S03,55
GENE_0423,S03,6
GENE_0001,S03,5
GENE_0309,S03,20
GENE_0317,S03,31
GENE_0044,S03,48
GENE_0209,S03,9
GENE_0228,S03,35
GENE_0030,S03,10
GENE_0058,S03,12
GENE_0164,S03,45
GENE_0022,S03,18
GENE_0038,S03,2
GENE_0372,S03,34
GENE_0100,S03,94
GENE_0119,S03,7
GENE_0146,S03,32
GENE_0148,S03,17
GENE_0322,S03,11
GENE_0389,S03,7
GENE_0390,S03,4
GENE_0420,S03,18
GENE_0066,S03,43
GENE_0279,S03,19
GENE_0090,S03,8
GENE_0129,S03,26
GENE_0205,S03,0
GENE_0125,S03,45
GENE_0453,S03,3
GENE_0473,S03,2
GENE_0367,S03,6
GENE_0304,S03,3
GENE_0122,S03,59
GENE_0032,S03,5
GENE_0208,S03,19
GENE_0012,S03,14
GENE_0335,S03,27
GENE_0321,S03,7
GENE_0360,S03,4
GENE_0111,S03,32
GENE_0079,S03,7
GENE_0373,S03,3
GENE_0144,S03,7
GENE_0155,S03,40
GENE_0196,S03,26
GENE_0302,S03,10
GENE_0254,S03,8
GENE_0461,S03,3
GENE_0454,S03,111
GENE_0237,S03,19
GENE_0383,S03,13
GENE_0206,S03,39
GENE_0355,S03,26
GENE_0320,S03,13
GENE_0183,S03,15
GENE_0188,S03,13
GENE_0230,S03,10
GENE_0378,S03,27
GENE_0406,S03,7
GENE_0213,S03,16
GENE_0008,S03,12
GENE_0293,S03,15
GENE_0496,S03,0
GENE_0348,S03,34
GENE_0104,S03,12
GENE_0313,S03,32
GENE_0081,S03,1
GENE_0289,S03,49
GENE_0212,S03,7
GENE_0476,S03,31
GENE_0359,S03,6
GENE_0068,S03,27
GENE_0399,S03,9
GENE_0216,S03,9
GENE_0305,S03,80
GENE_0048,S03,10
GENE_0366,S03,7
GENE_0112,S03,29
GENE_0133,S03,22
GENE_0005,S03,18
GENE_0169,S03,15
GENE_0495,S03,104
GENE_0200,S03,11
GENE_0445,S03,11
GENE_0248,S03,27
GENE_0264,S03,12
GENE_0351,S03,49
GENE_0137,S03,23
GENE_0274,S03,6
GENE_0120,S03,47
GENE_0152,S03,5
GENE_0250,S03,23
GENE_0326,S03,5
GENE_0386,S03,20
GENE_0052,S03,35
GENE_0398,S03,23
GENE_0365,S03,11
GENE_0281,S03,55
GENE_0440,S03,18
GENE_0202,S03,16
GENE_0134,S03,36
GENE_0027,S03,53
GENE_0460,S03,2
GENE_0247,S03,10
GENE_0231,S03,33
GENE_0061,S03,13
GENE_0286,S03,46
GENE_0162,S03,18
GENE_0270,S03,22
GENE_0157,S03,5
GENE_0315,S03,10
GENE_0062,S03,4
GENE_0244,S03,1
GENE_0123,S03,76
GENE_0470,S03,13
GENE_0462,S03,2
GENE_0284,S03,1
GENE_0025,S03,2
GENE_0221,S03,4
GENE_0189,S03,65
GENE_0334,S03,46
GENE_0000,S03,3
GENE_0259,S03,124
GENE_0117,S03,32
