cell_id,gene,count,sample_id,cluster
CELL_0001,GENE_0175,3,S02,Cluster_1
CELL_0001,GENE_0286,11,S02,Cluster_1
CELL_0001,GENE_0408,6,S02,Cluster_1
CELL_0001,GENE_0191,32,S02,Cluster_1
CELL_0001,GENE_0009,9,S02,Cluster_1
CELL_0001,GENE_0376,5,S02,Cluster_1
CELL_0001,GENE_0322,4,S02,Cluster_1
CELL_0001,GENE_0063,4,S02,Cluster_1
CELL_0001,GENE_0214,1,S02,Cluster_1
CELL_0001,GENE_0446,4,S02,Cluster_1
CELL_0001,GENE_0426,8,S02,Cluster_1
CELL_0001,GENE_0192,1,S02,Cluster_1
CELL_0001,GENE_0420,3,S02,Cluster_1
CELL_0001,GENE_0083,10,S02,Cluster_1
CELL_0001,GENE_0389,4,S02,Cluster_1
CELL_0001,GENE_0221,42,S02,Cluster_1
CELL_0001,GENE_0337,10,S02,Cluster_1
CELL_0001,GENE_0391,2,S02,Cluster_1
CELL_0001,GENE_0172,7,S02,Cluster_1
CELL_0001,GENE_0267,1,S02,Cluster_1
CELL_0001,GENE_0378,8,S02,Cluster_1
CELL_0001,GENE_0298,3,S02,Cluster_1
CELL_0001,GENE_0038,4,S02,Cluster_1
CELL_0001,GENE_0216,5,S02,Cluster_1
CELL_0002,GENE_0044,5,S07,Cluster_3
CELL_0002,GENE_0276,13,S07,Cluster_3
CELL_0002,GENE_0103,17,S07,Cluster_3
CELL_0002,GENE_0444,13,S07,Cluster_3
CELL_0002,GENE_0281,4,S07,Cluster_3
CELL_0002,GENE_0231,19,S07,Cluster_3
CELL_0002,GENE_0422,6,S07,Cluster_3
CELL_0002,GENE_0274,2,S07,Cluster_3
CELL_0002,GENE_0150,9,S07,Cluster_3
CELL_0002,GENE_0087,9,S07,Cluster_3
CELL_0002,GENE_0096,5,S07,Cluster_3
CELL_0002,GENE_0258,7,S07,Cluster_3
CELL_0002,GENE_0256,1,S07,Cluster_3
CELL_0002,GENE_0360,6,S07,Cluster_3
CELL_0002,GENE_0278,14,S07,Cluster_3
CELL_0002,GENE_0212,7,S07,Cluster_3
CELL_0002,GENE_0376,29,S07,Cluster_3
CELL_0002,GENE_0290,13,S07,Cluster_3
CELL_0002,GENE_0293,10,S07,Cluster_3
CELL_0002,GENE_0487,6,S07,Cluster_3
CELL_0002,GENE_0000,16,S07,Cluster_3
CELL_0002,GENE_0342,19,S07,Cluster_3
CELL_0002,GENE_0241,10,S07,Cluster_3
CELL_0002,GENE_0359,9,S07,Cluster_3
CELL_0002,GENE_0307,5,S07,Cluster_3
CELL_0002,GENE_0221,2,S07,Cluster_3
CELL_0002,GENE_0454,21,S07,Cluster_3
CELL_0002,GENE_0302,8,S07,Cluster_3
CELL_0002,GENE_0214,12,S07,Cluster_3
CELL_0002,GENE_0005,13,S07,Cluster_3
CELL_0002,GENE_0092,26,S07,Cluster_3
CELL_0002,GENE_0106,17,S07,Cluster_3
CELL_0002,GENE_0002,2,S07,Cluster_3
CELL_0002,GENE_0379,8,S07,Cluster_3
CELL_0002,GENE_0139,28,S07,Cluster_3
CELL_0002,GENE_0440,26,S07,Cluster_3
CELL_0002,GENE_0011,9,S07,Cluster_3
CELL_0002,GENE_0491,29,S07,Cluster_3
CELL_0002,GENE_0375,2,S07,Cluster_3
CELL_0003,GENE_0256,2,S24,Cluster_2
CELL_0003,GENE_0231,8,S24,Cluster_2
CELL_0003,GENE_0359,2,S24,Cluster_2
CELL_0003,GENE_0407,7,S24,Cluster_2
CELL_0003,GENE_0176,7,S24,Cluster_2
CELL_0003,GENE_0312,1,S24,Cluster_2
CELL_0003,GENE_0119,2,S24,Cluster_2
CELL_0003,GENE_0098,2,S24,Cluster_2
CELL_0003,GENE_0193,5,S24,Cluster_2
CELL_0003,GENE_0293,2,S24,Cluster_2
CELL_0003,GENE_0112,1,S24,Cluster_2
CELL_0003,GENE_0446,1,S24,Cluster_2
CELL_0003,GENE_0287,8,S24,Cluster_2
CELL_0003,GENE_0232,6,S24,Cluster_2
CELL_0003,GENE_0357,2,S24,Cluster_2
CELL_0003,GENE_0002,9,S24,Cluster_2
CELL_0003,GENE_0451,2,S24,Cluster_2
CELL_0003,GENE_0047,3,S24,Cluster_2
CELL_0003,GENE_0387,28,S24,Cluster_2
CELL_0003,GENE_0042,4,S24,Cluster_2
CELL_0003,GENE_0166,31,S24,Cluster_2
CELL_0003,GENE_0257,1,S24,Cluster_2
CELL_0003,GENE_0274,2,S24,Cluster_2
CELL_0003,GENE_0318,11,S24,Cluster_2
CELL_0003,GENE_0255,4,S24,Cluster_2
CELL_0003,GENE_0458,11,S24,Cluster_2
CELL_0003,GENE_0492,2,S24,Cluster_2
CELL_0003,GENE_0413,3,S24,Cluster_2
CELL_0003,GENE_0375,4,S24,Cluster_2
CELL_0003,GENE_0175,4,S24,Cluster_2
CELL_0003,GENE_0392,7,S24,Cluster_2
CELL_0003,GENE_0061,6,S24,Cluster_2
CELL_0003,GENE_0354,17,S24,Cluster_2
CELL_0003,GENE_0426,10,S24,Cluster_2
CELL_0003,GENE_0286,3,S24,Cluster_2
CELL_0003,GENE_0124,2,S24,Cluster_2
CELL_0004,GENE_0231,9,S21,Cluster_6
CELL_0004,GENE_0454,5,S21,Cluster_6
CELL_0004,GENE_0188,16,S21,Cluster_6
CELL_0004,GENE_0375,10,S21,Cluster_6
CELL_0004,GENE_0119,9,S21,Cluster_6
CELL_0004,GENE_0257,15,S21,Cluster_6
CELL_0004,GENE_0223,15,S21,Cluster_6
CELL_0004,GENE_0232,13,S21,Cluster_6
CELL_0004,GENE_0292,4,S21,Cluster_6
CELL_0004,GENE_0061,32,S21,Cluster_6
CELL_0004,GENE_0446,19,S21,Cluster_6
CELL_0004,GENE_0420,9,S21,Cluster_6
CELL_0004,GENE_0407,5,S21,Cluster_6
CELL_0004,GENE_0336,5,S21,Cluster_6
CELL_0004,GENE_0314,6,S21,Cluster_6
CELL_0004,GENE_0091,5,S21,Cluster_6
CELL_0004,GENE_0108,2,S21,Cluster_6
CELL_0004,GENE_0305,27,S21,Cluster_6
CELL_0004,GENE_0296,84,S21,Cluster_6
CELL_0004,GENE_0276,19,S21,Cluster_6
CELL_0004,GENE_0153,4,S21,Cluster_6
CELL_0004,GENE_0293,12,S21,Cluster_6
CELL_0004,GENE_0138,2,S21,Cluster_6
CELL_0004,GENE_0286,8,S21,Cluster_6
CELL_0004,GENE_0110,19,S21,Cluster_6
CELL_0004,GENE_0282,1,S21,Cluster_6
CELL_0004,GENE_0435,2,S21,Cluster_6
CELL_0004,GENE_0283,8,S21,Cluster_6
CELL_0004,GENE_0176,2,S21,Cluster_6
CELL_0004,GENE_0433,49,S21,Cluster_6
CELL_0004,GENE_0489,10,S21,Cluster_6
CELL_0004,GENE_0166,5,S21,Cluster_6
CELL_0004,GENE_0227,3,S21,Cluster_6
CELL_0004,GENE_0043,11,S21,Cluster_6
CELL_0004,GENE_0059,7,S21,Cluster_6
CELL_0004,GENE_0219,18,S21,Cluster_6
CELL_0004,GENE_0280,3,S21,Cluster_6
CELL_0004,GENE_0145,2,S21,Cluster_6
CELL_0005,GENE_0380,4,S03,Cluster_1
CELL_0005,GENE_0276,3,S03,Cluster_1
CELL_0005,GENE_0485,3,S03,Cluster_1
CELL_0005,GENE_0227,2,S03,Cluster_1
CELL_0005,GENE_0452,20,S03,Cluster_1
CELL_0005,GENE_0373,1,S03,Cluster_1
CELL_0005,GENE_0219,2,S03,Cluster_1
CELL_0005,GENE_0454,4,S03,Cluster_1
CELL_0005,GENE_0221,4,S03,Cluster_1
CELL_0005,GENE_0388,1,S03,Cluster_1
CELL_0005,GENE_0004,4,S03,Cluster_1
CELL_0005,GENE_0170,3,S03,Cluster_1
CELL_0005,GENE_0138,75,S03,Cluster_1
CELL_0005,GENE_0091,9,S03,Cluster_1
CELL_0005,GENE_0083,14,S03,Cluster_1
CELL_0005,GENE_0298,2,S03,Cluster_1
CELL_0005,GENE_0444,11,S03,Cluster_1
CELL_0005,GENE_0469,7,S03,Cluster_1
CELL_0005,GENE_0354,20,S03,Cluster_1
CELL_0005,GENE_0451,5,S03,Cluster_1
CELL_0005,GENE_0143,14,S03,Cluster_1
CELL_0005,GENE_0461,1,S03,Cluster_1
CELL_0005,GENE_0101,6,S03,Cluster_1
CELL_0005,GENE_0278,9,S03,Cluster_1
CELL_0005,GENE_0406,6,S03,Cluster_1
CELL_0005,GENE_0353,5,S03,Cluster_1
CELL_0005,GENE_0035,5,S03,Cluster_1
CELL_0005,GENE_0389,7,S03,Cluster_1
CELL_0005,GENE_0058,17,S03,Cluster_1
CELL_0005,GENE_0374,4,S03,Cluster_1
CELL_0005,GENE_0005,10,S03,Cluster_1
CELL_0005,GENE_0359,8,S03,Cluster_1
CELL_0005,GENE_0251,7,S03,Cluster_1
CELL_0005,GENE_0022,6,S03,Cluster_1
CELL_0005,GENE_0280,3,S03,Cluster_1
CELL_0005,GENE_0175,1,S03,Cluster_1
CELL_0006,GENE_0044,33,S08,Cluster_6
CELL_0006,GENE_0153,9,S08,Cluster_6
CELL_0006,GENE_0461,4,S08,Cluster_6
CELL_0006,GENE_0022,7,S08,Cluster_6
CELL_0006,GENE_0451,18,S08,Cluster_6
CELL_0006,GENE_0345,17,S08,Cluster_6
CELL_0006,GENE_0491,8,S08,Cluster_6
CELL_0006,GENE_0135,25,S08,Cluster_6
CELL_0006,GENE_0338,30,S08,Cluster_6
CELL_0006,GENE_0361,14,S08,Cluster_6
CELL_0006,GENE_0489,23,S08,Cluster_6
CELL_0006,GENE_0231,6,S08,Cluster_6
CELL_0006,GENE_0170,22,S08,Cluster_6
CELL_0006,GENE_0051,15,S08,Cluster_6
CELL_0006,GENE_0080,4,S08,Cluster_6
CELL_0006,GENE_0261,14,S08,Cluster_6
CELL_0006,GENE_0407,17,S08,Cluster_6
CELL_0006,GENE_0378,12,S08,Cluster_6
CELL_0006,GENE_0194,10,S08,Cluster_6
CELL_0006,GENE_0042,4,S08,Cluster_6
CELL_0006,GENE_0422,13,S08,Cluster_6
CELL_0006,GENE_0342,15,S08,Cluster_6
CELL_0006,GENE_0480,6,S08,Cluster_6
CELL_0006,GENE_0020,3,S08,Cluster_6
CELL_0006,GENE_0097,11,S08,Cluster_6
CELL_0006,GENE_0119,26,S08,Cluster_6
CELL_0006,GENE_0035,20,S08,Cluster_6
CELL_0006,GENE_0204,18,S08,Cluster_6
CELL_0006,GENE_0002,9,S08,Cluster_6
CELL_0006,GENE_0175,7,S08,Cluster_6
CELL_0006,GENE_0307,16,S08,Cluster_6
CELL_0006,GENE_0470,3,S08,Cluster_6
CELL_0006,GENE_0276,23,S08,Cluster_6
CELL_0006,GENE_0134,5,S08,Cluster_6
CELL_0006,GENE_0088,11,S08,Cluster_6
CELL_0006,GENE_0391,4,S08,Cluster_6
CELL_0006,GENE_0092,9,S08,Cluster_6
CELL_0006,GENE_0389,7,S08,Cluster_6
CELL_0006,GENE_0166,17,S08,Cluster_6
CELL_0007,GENE_0269,3,S18,Cluster_2
CELL_0007,GENE_0322,8,S18,Cluster_2
CELL_0007,GENE_0004,44,S18,Cluster_2
CELL_0007,GENE_0051,6,S18,Cluster_2
CELL_0007,GENE_0352,3,S18,Cluster_2
CELL_0007,GENE_0075,14,S18,Cluster_2
CELL_0007,GENE_0140,9,S18,Cluster_2
CELL_0007,GENE_0232,5,S18,Cluster_2
CELL_0007,GENE_0124,10,S18,Cluster_2
CELL_0007,GENE_0282,5,S18,Cluster_2
CELL_0007,GENE_0410,1,S18,Cluster_2
CELL_0007,GENE_0256,3,S18,Cluster_2
CELL_0007,GENE_0323,3,S18,Cluster_2
CELL_0007,GENE_0440,6,S18,Cluster_2
CELL_0007,GENE_0267,7,S18,Cluster_2
CELL_0007,GENE_0116,28,S18,Cluster_2
CELL_0007,GENE_0029,6,S18,Cluster_2
CELL_0007,GENE_0337,11,S18,Cluster_2
CELL_0007,GENE_0170,5,S18,Cluster_2
CELL_0007,GENE_0002,5,S18,Cluster_2
CELL_0007,GENE_0448,10,S18,Cluster_2
CELL_0007,GENE_0281,3,S18,Cluster_2
CELL_0007,GENE_0458,3,S18,Cluster_2
CELL_0007,GENE_0274,3,S18,Cluster_2
CELL_0007,GENE_0188,8,S18,Cluster_2
CELL_0007,GENE_0098,2,S18,Cluster_2
CELL_0007,GENE_0388,2,S18,Cluster_2
CELL_0007,GENE_0134,11,S18,Cluster_2
CELL_0007,GENE_0011,3,S18,Cluster_2
CELL_0007,GENE_0387,4,S18,Cluster_2
CELL_0007,GENE_0485,1,S18,Cluster_2
CELL_0007,GENE_0091,4,S18,Cluster_2
CELL_0007,GENE_0461,4,S18,Cluster_2
CELL_0007,GENE_0216,36,S18,Cluster_2
CELL_0007,GENE_0153,1,S18,Cluster_2
CELL_0007,GENE_0378,8,S18,Cluster_2
CELL_0007,GENE_0080,8,S18,Cluster_2
CELL_0007,GENE_0374,1,S18,Cluster_2
CELL_0008,GENE_0261,7,S15,Cluster_6
CELL_0008,GENE_0376,10,S15,Cluster_6
CELL_0008,GENE_0414,8,S15,Cluster_6
CELL_0008,GENE_0143,3,S15,Cluster_6
CELL_0008,GENE_0286,15,S15,Cluster_6
CELL_0008,GENE_0452,4,S15,Cluster_6
CELL_0008,GENE_0212,4,S15,Cluster_6
CELL_0008,GENE_0302,7,S15,Cluster_6
CELL_0008,GENE_0028,3,S15,Cluster_6
CELL_0008,GENE_0227,6,S15,Cluster_6
CELL_0008,GENE_0387,5,S15,Cluster_6
CELL_0008,GENE_0296,8,S15,Cluster_6
CELL_0008,GENE_0038,17,S15,Cluster_6
CELL_0008,GENE_0485,15,S15,Cluster_6
CELL_0008,GENE_0298,16,S15,Cluster_6
CELL_0008,GENE_0337,13,S15,Cluster_6
CELL_0008,GENE_0223,47,S15,Cluster_6
CELL_0008,GENE_0491,9,S15,Cluster_6
CELL_0008,GENE_0079,9,S15,Cluster_6
CELL_0008,GENE_0073,28,S15,Cluster_6
CELL_0008,GENE_0116,15,S15,Cluster_6
CELL_0008,GENE_0058,5,S15,Cluster_6
CELL_0008,GENE_0338,9,S15,Cluster_6
CELL_0008,GENE_0034,8,S15,Cluster_6
CELL_0008,GENE_0345,3,S15,Cluster_6
CELL_0008,GENE_0275,3,S15,Cluster_6
CELL_0008,GENE_0061,7,S15,Cluster_6
CELL_0008,GENE_0406,13,S15,Cluster_6
CELL_0008,GENE_0112,23,S15,Cluster_6
CELL_0008,GENE_0259,7,S15,Cluster_6
CELL_0008,GENE_0008,4,S15,Cluster_6
CELL_0008,GENE_0164,3,S15,Cluster_6
CELL_0008,GENE_0422,5,S15,Cluster_6
CELL_0008,GENE_0287,7,S15,Cluster_6
CELL_0008,GENE_0354,29,S15,Cluster_6
CELL_0008,GENE_0492,40,S15,Cluster_6
CELL_0008,GENE_0101,4,S15,Cluster_6
CELL_0009,GENE_0112,5,S11,Cluster_6
CELL_0009,GENE_0216,70,S11,Cluster_6
CELL_0009,GENE_0290,8,S11,Cluster_6
CELL_0009,GENE_0058,22,S11,Cluster_6
CELL_0009,GENE_0236,26,S11,Cluster_6
CELL_0009,GENE_0305,9,S11,Cluster_6
CELL_0009,GENE_0373,8,S11,Cluster_6
CELL_0009,GENE_0079,11,S11,Cluster_6
CELL_0009,GENE_0259,22,S11,Cluster_6
CELL_0009,GENE_0360,20,S11,Cluster_6
CELL_0009,GENE_0480,10,S11,Cluster_6
CELL_0009,GENE_0162,4,S11,Cluster_6
CELL_0009,GENE_0329,18,S11,Cluster_6
CELL_0009,GENE_0422,21,S11,Cluster_6
CELL_0009,GENE_0000,4,S11,Cluster_6
CELL_0009,GENE_0312,5,S11,Cluster_6
CELL_0009,GENE_0487,26,S11,Cluster_6
CELL_0009,GENE_0257,2,S11,Cluster_6
CELL_0009,GENE_0098,3,S11,Cluster_6
CELL_0009,GENE_0111,55,S11,Cluster_6
CELL_0009,GENE_0096,4,S11,Cluster_6
CELL_0009,GENE_0059,2,S11,Cluster_6
CELL_0009,GENE_0359,10,S11,Cluster_6
CELL_0009,GENE_0148,10,S11,Cluster_6
CELL_0009,GENE_0146,2,S11,Cluster_6
CELL_0009,GENE_0295,8,S11,Cluster_6
CELL_0009,GENE_0110,8,S11,Cluster_6
CELL_0009,GENE_0298,16,S11,Cluster_6
CELL_0009,GENE_0282,3,S11,Cluster_6
CELL_0009,GENE_0258,17,S11,Cluster_6
CELL_0009,GENE_0193,8,S11,Cluster_6
CELL_0009,GENE_0458,6,S11,Cluster_6
CELL_0009,GENE_0166,12,S11,Cluster_6
CELL_0009,GENE_0269,5,S11,Cluster_6
CELL_0009,GENE_0103,11,S11,Cluster_6
CELL_0009,GENE_0038,9,S11,Cluster_6
CELL_0009,GENE_0291,2,S11,Cluster_6
CELL_0009,GENE_0232,1,S11,Cluster_6
CELL_0009,GENE_0457,11,S11,Cluster_6
CELL_0009,GENE_0348,15,S11,Cluster_6
CELL_0010,GENE_0004,5,S22,Cluster_6
CELL_0010,GENE_0035,4,S22,Cluster_6
CELL_0010,GENE_0170,11,S22,Cluster_6
CELL_0010,GENE_0414,6,S22,Cluster_6
CELL_0010,GENE_0454,9,S22,Cluster_6
CELL_0010,GENE_0075,26,S22,Cluster_6
CELL_0010,GENE_0098,68,S22,Cluster_6
CELL_0010,GENE_0150,28,S22,Cluster_6
CELL_0010,GENE_0101,25,S22,Cluster_6
CELL_0010,GENE_0439,10,S22,Cluster_6
CELL_0010,GENE_0295,2,S22,Cluster_6
CELL_0010,GENE_0487,8,S22,Cluster_6
CELL_0010,GENE_0451,4,S22,Cluster_6
CELL_0010,GENE_0005,11,S22,Cluster_6
CELL_0010,GENE_0458,12,S22,Cluster_6
CELL_0010,GENE_0408,8,S22,Cluster_6
CELL_0010,GENE_0194,10,S22,Cluster_6
CELL_0010,GENE_0124,6,S22,Cluster_6
CELL_0010,GENE_0374,3,S22,Cluster_6
CELL_0010,GENE_0290,1,S22,Cluster_6
CELL_0010,GENE_0129,7,S22,Cluster_6
CELL_0010,GENE_0138,4,S22,Cluster_6
CELL_0010,GENE_0135,10,S22,Cluster_6
CELL_0010,GENE_0379,4,S22,Cluster_6
CELL_0010,GENE_0274,9,S22,Cluster_6
CELL_0010,GENE_0086,4,S22,Cluster_6
CELL_0010,GENE_0406,1,S22,Cluster_6
CELL_0010,GENE_0410,57,S22,Cluster_6
CELL_0010,GENE_0043,21,S22,Cluster_6
CELL_0010,GENE_0280,24,S22,Cluster_6
CELL_0010,GENE_0251,17,S22,Cluster_6
CELL_0010,GENE_0389,33,S22,Cluster_6
CELL_0010,GENE_0188,11,S22,Cluster_6
CELL_0010,GENE_0216,11,S22,Cluster_6
CELL_0010,GENE_0140,2,S22,Cluster_6
CELL_0010,GENE_0433,16,S22,Cluster_6
CELL_0010,GENE_0160,1,S22,Cluster_6
CELL_0010,GENE_0022,4,S22,Cluster_6
CELL_0011,GENE_0155,34,S23,Cluster_2
CELL_0011,GENE_0449,1,S23,Cluster_2
CELL_0011,GENE_0158,6,S23,Cluster_2
CELL_0011,GENE_0193,8,S23,Cluster_2
CELL_0011,GENE_0021,3,S23,Cluster_2
CELL_0011,GENE_0257,11,S23,Cluster_2
CELL_0011,GENE_0379,17,S23,Cluster_2
CELL_0011,GENE_0359,14,S23,Cluster_2
CELL_0011,GENE_0391,4,S23,Cluster_2
CELL_0011,GENE_0148,5,S23,Cluster_2
CELL_0011,GENE_0302,1,S23,Cluster_2
CELL_0011,GENE_0307,7,S23,Cluster_2
CELL_0011,GENE_0112,5,S23,Cluster_2
CELL_0011,GENE_0287,12,S23,Cluster_2
CELL_0011,GENE_0487,2,S23,Cluster_2
CELL_0011,GENE_0013,34,S23,Cluster_2
CELL_0011,GENE_0361,20,S23,Cluster_2
CELL_0011,GENE_0041,2,S23,Cluster_2
CELL_0011,GENE_0035,5,S23,Cluster_2
CELL_0011,GENE_0342,10,S23,Cluster_2
CELL_0011,GENE_0210,8,S23,Cluster_2
CELL_0011,GENE_0058,7,S23,Cluster_2
CELL_0011,GENE_0322,7,S23,Cluster_2
CELL_0011,GENE_0241,6,S23,Cluster_2
CELL_0011,GENE_0227,6,S23,Cluster_2
CELL_0011,GENE_0043,1,S23,Cluster_2
CELL_0011,GENE_0392,1,S23,Cluster_2
CELL_0011,GENE_0439,23,S23,Cluster_2
CELL_0011,GENE_0236,15,S23,Cluster_2
CELL_0011,GENE_0124,2,S23,Cluster_2
CELL_0011,GENE_0283,36,S23,Cluster_2
CELL_0011,GENE_0002,23,S23,Cluster_2
CELL_0011,GENE_0188,12,S23,Cluster_2
CELL_0011,GENE_0170,5,S23,Cluster_2
CELL_0011,GENE_0212,22,S23,Cluster_2
CELL_0011,GENE_0256,22,S23,Cluster_2
CELL_0011,GENE_0314,12,S23,Cluster_2
CELL_0011,GENE_0433,33,S23,Cluster_2
CELL_0012,GENE_0414,1,S10,Cluster_4
CELL_0012,GENE_0042,8,S10,Cluster_4
CELL_0012,GENE_0061,28,S10,Cluster_4
CELL_0012,GENE_0470,5,S10,Cluster_4
CELL_0012,GENE_0112,11,S10,Cluster_4
CELL_0012,GENE_0457,5,S10,Cluster_4
CELL_0012,GENE_0212,2,S10,Cluster_4
CELL_0012,GENE_0345,11,S10,Cluster_4
CELL_0012,GENE_0342,3,S10,Cluster_4
CELL_0012,GENE_0489,4,S10,Cluster_4
CELL_0012,GENE_0440,6,S10,Cluster_4
CELL_0012,GENE_0211,3,S10,Cluster_4
CELL_0012,GENE_0188,5,S10,Cluster_4
CELL_0012,GENE_0276,4,S10,Cluster_4
CELL_0012,GENE_0251,16,S10,Cluster_4
CELL_0012,GENE_0492,8,S10,Cluster_4
CELL_0012,GENE_0446,2,S10,Cluster_4
CELL_0012,GENE_0161,2,S10,Cluster_4
CELL_0012,GENE_0013,3,S10,Cluster_4
CELL_0012,GENE_0020,1,S10,Cluster_4
CELL_0012,GENE_0192,1,S10,Cluster_4
CELL_0012,GENE_0059,6,S10,Cluster_4
CELL_0012,GENE_0080,2,S10,Cluster_4
CELL_0012,GENE_0353,14,S10,Cluster_4
CELL_0012,GENE_0278,16,S10,Cluster_4
CELL_0012,GENE_0408,5,S10,Cluster_4
CELL_0012,GENE_0091,1,S10,Cluster_4
CELL_0012,GENE_0290,6,S10,Cluster_4
CELL_0012,GENE_0073,22,S10,Cluster_4
CELL_0012,GENE_0388,7,S10,Cluster_4
CELL_0012,GENE_0283,4,S10,Cluster_4
CELL_0012,GENE_0111,9,S10,Cluster_4
CELL_0012,GENE_0221,13,S10,Cluster_4
CELL_0012,GENE_0357,16,S10,Cluster_4
CELL_0012,GENE_0097,9,S10,Cluster_4
CELL_0012,GENE_0176,22,S10,Cluster_4
CELL_0012,GENE_0124,2,S10,Cluster_4
CELL_0012,GENE_0282,5,S10,Cluster_4
CELL_0012,GENE_0194,195,S10,Cluster_4
CELL_0013,GENE_0337,2,S21,Cluster_2
CELL_0013,GENE_0406,9,S21,Cluster_2
CELL_0013,GENE_0492,9,S21,Cluster_2
CELL_0013,GENE_0480,6,S21,Cluster_2
CELL_0013,GENE_0158,10,S21,Cluster_2
CELL_0013,GENE_0160,9,S21,Cluster_2
CELL_0013,GENE_0408,2,S21,Cluster_2
CELL_0013,GENE_0191,5,S21,Cluster_2
CELL_0013,GENE_0119,2,S21,Cluster_2
CELL_0013,GENE_0210,2,S21,Cluster_2
CELL_0013,GENE_0161,7,S21,Cluster_2
CELL_0013,GENE_0043,11,S21,Cluster_2
CELL_0013,GENE_0318,6,S21,Cluster_2
CELL_0013,GENE_0008,5,S21,Cluster_2
CELL_0013,GENE_0111,14,S21,Cluster_2
CELL_0013,GENE_0098,6,S21,Cluster_2
CELL_0013,GENE_0433,4,S21,Cluster_2
CELL_0013,GENE_0153,1,S21,Cluster_2
CELL_0013,GENE_0305,4,S21,Cluster_2
CELL_0013,GENE_0251,6,S21,Cluster_2
CELL_0013,GENE_0045,6,S21,Cluster_2
CELL_0013,GENE_0352,1,S21,Cluster_2
CELL_0013,GENE_0212,4,S21,Cluster_2
CELL_0013,GENE_0028,1,S21,Cluster_2
CELL_0013,GENE_0139,11,S21,Cluster_2
CELL_0013,GENE_0241,2,S21,Cluster_2
CELL_0013,GENE_0290,3,S21,Cluster_2
CELL_0013,GENE_0323,4,S21,Cluster_2
CELL_0013,GENE_0348,18,S21,Cluster_2
CELL_0013,GENE_0494,2,S21,Cluster_2
CELL_0013,GENE_0379,1,S21,Cluster_2
CELL_0013,GENE_0354,5,S21,Cluster_2
CELL_0013,GENE_0146,4,S21,Cluster_2
CELL_0013,GENE_0287,3,S21,Cluster_2
CELL_0013,GENE_0122,1,S21,Cluster_2
CELL_0013,GENE_0086,8,S21,Cluster_2
CELL_0013,GENE_0475,1,S21,Cluster_2
CELL_0013,GENE_0148,12,S21,Cluster_2
CELL_0013,GENE_0439,3,S21,Cluster_2
CELL_0013,GENE_0422,1,S21,Cluster_2
CELL_0014,GENE_0261,2,S17,Cluster_1
CELL_0014,GENE_0305,5,S17,Cluster_1
CELL_0014,GENE_0175,1,S17,Cluster_1
CELL_0014,GENE_0373,15,S17,Cluster_1
