cell,cell_type,sample_type
X121896114219299.N,Effector/Memory CD4+ T cells,N
X121955391782300.N,Natural killer cell,N
X121955392018331.N,Pro-angiogenesis Macrophage,N
X121955392019750.N,Natural killer cell,N
X121955392374627.N,CD8 T or NK cell,N
X121955406990574.N,Macrophage,N
X121955407055148.N,Pro-angiogenesis Macrophage,N
X121955407318243.N,Natural killer cell,N
X121955419313963.N,Pro-angiogenesis Macrophage,N
X121955437922667.N,Pro-angiogenesis Macrophage,N
X121955438455086.N,Effector/Memory CD8+ T cells,N
X121955438520092.N,Pro-inflammatory Macrophage,N
X121965726587828.N,Natural killer cell,N
X121965727037214.N,Pro-angiogenesis Macrophage,N
X121965741295475.N,Pro-angiogenesis Macrophage,N
X121965741304547.N,Lung Cancer Cell,N
X121965741488054.N,Effector/Memory CD4+ T cells,N
X121965741521333.N,Pro-angiogenesis Macrophage,N
X121965741525413.N,Pro-angiogenesis Macrophage,N
X121965754042293.N,Pro-angiogenesis Macrophage,N
X121965754137894.N,Pro-angiogenesis Macrophage,N
X121965754146030.N,Pro-angiogenesis Macrophage,N
X121965772986205.N,Pro-angiogenesis Macrophage,N
X121965773482219.N,Pro-angiogenesis Macrophage,N
X121965773516075.N,Pro-angiogenesis Macrophage,N
X121965773543717.N,Lung Cancer Cell,N
X122282749642987.N,Natural killer cell,N
X122282776350110.N,Pro-angiogenesis Macrophage,N
X122282776577901.N,Effector/Memory CD4+ T cells,N
X122282776677732.N,Pro-angiogenesis Macrophage,N
X122282795482347.N,Effector/Memory CD4+ T cells,N
X122293366680350.N,Pro-angiogenesis Macrophage,N
X122293366680884.N,Pro-angiogenesis Macrophage,N
X122293367269100.N,Effector/Memory CD4+ T cells,N
X122293379291997.N,Pro-angiogenesis Macrophage,N
X122293379353518.N,Macrophage,N
X122293379516341.N,Pro-angiogenesis Macrophage,N
X122293379616174.N,Effector/Memory CD8+ T cells,N
X122293398396323.N,Effector/Memory CD8+ T cells,N
X122308384995166.N,Pro-angiogenesis Macrophage,N
X122308385204077.N,Pro-angiogenesis Macrophage,N
X122308399847652.N,Pro-angiogenesis Macrophage,N
X122308411931998.N,Effector/Memory CD4+ T cells,N
X122308412205916.N,Pro-angiogenesis Macrophage,N
X122308412488926.N,Pro-angiogenesis Macrophage,N
X122308431107892.N,Pro-angiogenesis Macrophage,N
X122310397745973.N,Pro-angiogenesis Macrophage,N
X122310412888435.N,Pro-angiogenesis Macrophage,N
X122310425205619.N,Pro-angiogenesis Macrophage,N
X122310425241462.N,Pro-angiogenesis Macrophage,N
X122310443842806.N,Effector/Memory CD4+ T cells,N
X122310444369645.N,CAFadi,N
X122310444669221.N,Effector/Memory CD8+ T cells,N
X122428777949981.N,Pro-angiogenesis Macrophage,N
X122428777982388.N,Pro-angiogenesis Macrophage,N
X122428777983261.N,Effector/Memory CD4+ T cells,N
X122428792355755.N,Effector/Memory CD4+ T cells,N
X122428805212510.N,Pro-angiogenesis Macrophage,N
X122428805278454.N,Pro-angiogenesis Macrophage,N
X122428805303006.N,Effector/Memory CD8+ T cells,N
X122428805465965.N,cDC2,N
X122428805466348.N,Pro-angiogenesis Macrophage,N
X122428823813421.N,Pro-angiogenesis Macrophage,N
X122428823878902.N,Natural killer cell,N
X122428824116139.N,Pro-angiogenesis Macrophage,N
X122436428458213.N,Natural killer cell,N
X122436428458419.N,Blood Cell,N
X122436442839838.N,Pro-angiogenesis Macrophage,N
X122436443130157.N,Natural killer cell,N
X122436455884643.N,Pro-angiogenesis Macrophage,N
X122436474267445.N,Pro-angiogenesis Macrophage,N
X122436474527011.N,Pro-angiogenesis Macrophage,N
X122436474760414.N,Pro-angiogenesis Macrophage,N
X122436474813685.N,Pro-angiogenesis Macrophage,N
X122436474820404.N,Blood Cell,N
X122436475079028.N,Naive CD4+ T cells,N
X122514677815094.N,Natural killer cell,N
X122514677905268.N,CD4 or CD8 T cell,N
X122514692070619.N,cDC1,N
X122514692265692.N,Pro-angiogenesis Macrophage,N
X122514692496820.N,Pro-angiogenesis Macrophage,N
X122514705176926.N,Pro-angiogenesis Macrophage,N
X122514723237292.N,Macrophage,N
X122514723760038.N,Lung Cancer Cell,N
X122514723784549.N,Natural killer cell,N
X122514723788581.N,Lung Cancer Cell,N
X125042414274933.N,Effector/Memory CD4+ T cells,N
X125042427017653.N,Pro-angiogenesis Macrophage,N
X125042427647909.N,Pro-angiogenesis Macrophage,N
X125042445642139.N,Pro-angiogenesis Macrophage,N
X125042445667124.N,Pro-angiogenesis Macrophage,N
X125042445700012.N,cDC1,N
X125042445899557.N,Effector/Memory CD8+ T cells,N
X125042445903669.N,Effector/Memory CD4+ T cells,N
X125042445937894.N,Pro-angiogenesis Macrophage,N
X125197018875828.N,Macrophage,N
X125197033559862.N,Pro-angiogenesis Macrophage,N
X125197033888484.N,Effector/Memory CD4+ T cells,N
X125197046135078.N,Pro-angiogenesis Macrophage,N
X125197064555814.N,Effector/Memory CD4+ T cells,N
X125197064723235.N,cDC1,N
X125197065316597.N,Lung Cancer Cell,N
X125239699590366.N,Macrophage,N
X125239700175221.N,Pro-angiogenesis Macrophage,N
X125239700182750.N,Phagocytosis Macrophage,N
X125239727156451.N,Pro-angiogenesis Macrophage,N
X125239746312109.N,Blood Cell,N
X125239746549989.N,cDC2,N
X125247349970851.N,Pro-angiogenesis Macrophage,N
X125247350495989.N,Macrophage,N
X125247350500653.N,Pro-angiogenesis Macrophage,N
X125247350761262.N,Effector/Memory CD8+ T cells,N
X125247364712795.N,Pro-angiogenesis Macrophage,N
X125247364914587.N,Effector/Memory CD4+ T cells,N
X125247364950323.N,Effector/Memory CD4+ T cells,N
X125247365176155.N,Phagocytosis Macrophage,N
X125247396375332.N,Natural killer cell,N
X125247396669742.N,Blood Cell,N
X125677920439222.N,Pro-angiogenesis Macrophage,N
X125677920446699.N,Macrophage,N
X125677920479139.N,Pro-angiogenesis Macrophage,N
X125677920806827.N,cDC1,N
X125677935119796.N,Pro-angiogenesis Macrophage,N
X125677935967525.N,Pro-angiogenesis Macrophage,N
X125677935970150.N,Effector/Memory CD4+ T cells,N
X125677947710774.N,Pro-angiogenesis Macrophage,N
X125677967206237.N,Effector/Memory CD8+ T cells,N
X125719930956142.N,Natural killer cell,N
X125719931370420.N,Pro-angiogenesis Macrophage,N
X125719945889629.N,CD4 or CD8 T cell,N
X125719946114997.N,Pro-angiogenesis Macrophage,N
X125719958210484.N,Pro-angiogenesis Macrophage,N
X125719976790956.N,Pro-angiogenesis Macrophage,N
X125719976995620.N,Pro-angiogenesis Macrophage,N
X125719977606508.N,Pro-angiogenesis Macrophage,N
X125728252345260.N,Effector/Memory CD4+ T cells,N
X125728252869470.N,Pro-angiogenesis Macrophage,N
X125728252902302.N,Natural killer cell,N
X125728267029349.N,Natural killer cell,N
X125728267037547.N,Effector/Memory CD4+ T cells,N
X125728267328859.N,Pro-angiogenesis Macrophage,N
X125728267351990.N,Pro-angiogenesis Macrophage,N
X125728267618150.N,Natural killer cell,N
X125728279620515.N,Pro-angiogenesis Macrophage,N
X125728298224499.N,Pro-angiogenesis Macrophage,N
X125728298265525.N,Natural killer cell,N
X125728298777460.N,Effector/Memory CD4+ T cells,N
X125745298263469.N,Effector/Memory CD4+ T cells,N
X125745298337123.N,Blood Cell,N
X125745298561325.N,Natural killer cell,N
X125745312492827.N,Natural killer cell,N
X125745312714102.N,Natural killer cell,N
X125745313234206.N,Pro-inflammatory Macrophage,N
X125745325336438.N,Macrophage,N
X125745325337827.N,Pro-angiogenesis Macrophage,N
X125745325861091.N,Blood Cell,N
X125745325889846.N,Pro-angiogenesis Macrophage,N
X125745344138157.N,Natural killer cell,N
X126132113295660.N,Effector/Memory CD4+ T cells,N
X126132113324789.N,Pro-angiogenesis Macrophage,N
X126132113852259.N,Naive CD4+ T cells,N
X126132128234859.N,Pro-inflammatory Macrophage,N
X126132128270118.N,Pro-angiogenesis Macrophage,N
X126132128700707.N,Macrophage,N
X126132128795355.N,Pro-angiogenesis Macrophage,N
X126132159887670.N,Effector/Memory CD4+ T cells,N
X126149024758572.N,Pro-angiogenesis Macrophage,N
X126149024921453.N,Pro-angiogenesis Macrophage,N
X126149024933723.N,Effector/Memory CD4+ T cells,N
X126149025028828.N,Pro-angiogenesis Macrophage,N
X126149025455325.N,Effector/Memory CD4+ T cells,N
X126149039373668.N,Macrophage,N
X126149039873332.N,Lung Cancer Cell,N
X126149039934180.N,Pro-angiogenesis Macrophage,N
X126149039975645.N,Natural killer cell,N
X126149040171955.N,Natural killer cell,N
X126149052188909.N,Pro-angiogenesis Macrophage,N
X126149052189413.N,Pro-angiogenesis Macrophage,N
X126149052479787.N,Effector/Memory CD8+ T cells,N
X126149071615790.N,Pro-angiogenesis Macrophage,N
X126218818144693.N,CD8 T or NK cell,N
X126218818414451.N,Pro-angiogenesis Macrophage,N
X126218832854262.N,Effector/Memory CD8+ T cells,N
X126218832858486.N,Effector/Memory CD4+ T cells,N
X126218833446830.N,Pro-angiogenesis Macrophage,N
X126218845145956.N,Pro-angiogenesis Macrophage,N
X126218845154614.N,Pro-angiogenesis Macrophage,N
X126218845481757.N,Pro-angiogenesis Macrophage,N
X126227542862627.N,Natural killer cell,N
X126227556718940.N,Blood Cell,N
X126227557038499.N,Pro-angiogenesis Macrophage,N
X126227569364315.N,Effector/Memory CD8+ T cells,N
X126227588438301.N,Pro-angiogenesis Macrophage,N
X126227588769636.N,Effector/Memory CD4+ T cells,N
X126293994564381.N,Pro-angiogenesis Macrophage,N
X126294007367517.N,Blood Cell,N
X126294007396787.N,Pro-angiogenesis Macrophage,N
X126294007695771.N,Pro-angiogenesis Macrophage,N
X126294026053420.N,Pro-angiogenesis Macrophage,N
X126294026271068.N,Pro-angiogenesis Macrophage,N
X126294026767286.N,Pro-angiogenesis Macrophage,N
X126364041468267.N,Effector/Memory CD4+ T cells,N
X126364041795316.N,Lung Cancer Cell,N
X126364041993014.N,Effector/Memory CD8+ T cells,N
X126364056440227.N,Pro-angiogenesis Macrophage,N
X126364056729526.N,Pro-angiogenesis Macrophage,N
X126364056734125.N,Natural killer cell,N
X126680929626477.N,Pro-angiogenesis Macrophage,N
X126680929855405.N,Pro-angiogenesis Macrophage,N
X126680929876190.N,Lung Cancer Cell,N
X126680944724916.N,Effector/Memory CD4+ T cells,N
X126680957143789.N,Pro-angiogenesis Macrophage,N
X126680975732021.N,Pro-angiogenesis Macrophage,N
X126681600671147.N,Pro-angiogenesis Macrophage,N
X126681600674539.N,Pro-angiogenesis Macrophage,N
X126681615292771.N,Pro-angiogenesis Macrophage,N
X126681615579869.N,Pro-angiogenesis Macrophage,N
X126681615911668.N,Pro-angiogenesis Macrophage,N
X126681627871606.N,Effector/Memory CD4+ T cells,N
X126681627875038.N,Pro-angiogenesis Macrophage,N
X126681627937502.N,Pro-angiogenesis Macrophage,N
X126681627970974.N,Pro-angiogenesis Macrophage,N
X126681628666102.N,Effector/Memory CD8+ T cells,N
X126681628694830.N,Pro-angiogenesis Macrophage,N
X126681628731102.N,Blood Cell,N
X126681647278492.N,Effector/Memory CD8+ T cells,N
X126706297026782.N,Effector/Memory CD8+ T cells,N
X126706323966693.N,Pro-angiogenesis Macrophage,N
X126706324007846.N,Pro-angiogenesis Macrophage,N
X126706324749678.N,Pro-angiogenesis Macrophage,N
X126706324753324.N,Macrophage,N
X126707773365660.N,T or NK Cell,N
X126707788114787.N,Natural killer cell,N
X126707788541171.N,Pro-angiogenesis Macrophage,N
X126707800590573.N,Pro-angiogenesis Macrophage,N
X126707800685814.N,Pro-angiogenesis Macrophage,N
X126707800689374.N,Pro-angiogenesis Macrophage,N
X126707801185524.N,Pro-angiogenesis Macrophage,N
X126765620911387.N,Normal Fibroblast,N
X126765621202213.N,Natural killer cell,N
X126765621734110.N,Pro-angiogenesis Macrophage,N
X126765635852070.N,Natural killer cell,N
X126765635921651.N,Pro-angiogenesis Macrophage,N
X126765648205677.N,Pro-angiogenesis Macrophage,N
X126765648210676.N,Natural killer cell,N
X126765648268006.N,Blood Cell,N
X126765648276340.N,Pro-angiogenesis Macrophage,N
X126765648996086.N,Effector/Memory CD8+ T cells,N
X126765648997604.N,Blood Cell,N
X126765667596573.N,Pro-angiogenesis Macrophage,N
X126765667662556.N,Pro-angiogenesis Macrophage,N
X126776224208667.N,Pro-angiogenesis Macrophage,N
X126776224365494.N,Endothelial Cells,N
X126776224737652.N,Blood Cell,N
X126776224893806.N,Normal Fibroblast,N
X126776239086316.N,Pro-angiogenesis Macrophage,N
X126776239349093.N,Pro-angiogenesis Macrophage,N
X126776252186035.N,Pro-angiogenesis Macrophage,N
X126776270835036.N,Pro-angiogenesis Macrophage,N
X126834206195062.N,Pro-angiogenesis Macrophage,N
X126834220919086.N,Effector/Memory CD8+ T cells,N
X126834221432054.N,Pro-angiogenesis Macrophage,N
X126834221443484.N,Effector/Memory CD4+ T cells,N
X126834233756573.N,Pro-angiogenesis Macrophage,N
X126835145985317.N,Normal Fibroblast,N
X126835160471780.N,Pro-angiogenesis Macrophage,N
X126835160668908.N,Naive CD4+ T cells,N
X126835160693997.N,Macrophage,N
X126835160922851.N,Pro-angiogenesis Macrophage,N
X126835160923508.N,Blood Cell,N
X126835160958877.N,Pro-angiogenesis Macrophage,N
X126835161156534.N,Macrophage,N
X126835161159412.N,Effector/Memory CD4+ T cells,N
X126835161216886.N,Pro-angiogenesis Macrophage,N
X126835161258203.N,Pro-angiogenesis Macrophage,N
X126835191863590.N,Pro-angiogenesis Macrophage,N
X126835192162156.N,Effector/Memory CD4+ T cells,N
X126835192380651.N,Blood Cell,N
X126836622341997.N,Endothelial Cells,N
X126836622609774.N,Natural killer cell,N
X126836622616420.N,Pro-angiogenesis Macrophage,N
X126836637034355.N,Effector/Memory CD4+ T cells,N
X126836649867564.N,Pro-angiogenesis Macrophage,N
X126836668282726.N,Effector/Memory CD4+ T cells,N
X126885745776547.N,Pro-angiogenesis Macrophage,N
X126885760518574.N,Pro-angiogenesis Macrophage,N
X126885761243942.N,Macrophage,N
X126885761345846.N,Normal Fibroblast,N
X126885773142445.N,Pro-angiogenesis Macrophage,N
X126885773363501.N,Effector/Memory CD8+ T cells,N
X126885792439083.N,Effector/Memory CD4+ T cells,N
X126886685619949.N,Pro-angiogenesis Macrophage,N
X126886685620014.N,Blood Cell,N
X126886700276460.N,Endothelial Cells,N
X126886731467572.N,Lung Cancer Cell,N
X126886732323043.N,Pro-angiogenesis Macrophage,N
X129457506446174.N,Pro-angiogenesis Macrophage,N
X129457506606491.N,Natural killer cell,N
X129457518959453.N,Pro-angiogenesis Macrophage,N
X129457519019883.N,Pro-angiogenesis Macrophage,N
X129457538063132.N,Natural killer cell,N
X129457538095012.N,Pro-angiogenesis Macrophage,N
X129497355176171.N,Effector/Memory CD8+ T cells,N
X129497369296118.N,Natural killer cell,N
X129497381685990.N,CD8 T or NK cell,N
X129497382144244.N,Pro-angiogenesis Macrophage,N
X129497400560372.N,Pro-angiogenesis Macrophage,N
X129497400764724.N,Pro-angiogenesis Macrophage,N
X129497400990045.N,Macrophage,N
X129497401079590.N,Blood Cell,N
X129565671470894.N,Pro-angiogenesis Macrophage,N
X129565671709413.N,Effector/Memory CD4+ T cells,N
X129565672031971.N,Pro-angiogenesis Macrophage,N
X129565685828012.N,Macrophage,N
X129565686188262.N,Macrophage,N
X129565698771693.N,Pro-angiogenesis Macrophage,N
X129565717588276.N,Pro-angiogenesis Macrophage,N
X129565717621662.N,Effector/Memory CD4+ T cells,N
X129565717809053.N,Pro-angiogenesis Macrophage,N
X129565717847460.N,Pro-angiogenesis Macrophage,N
X129565717851059.N,Effector/Memory CD4+ T cells,N
X129583013059484.N,Effector/Memory CD8+ T cells,N
X129583013386667.N,Pro-angiogenesis Macrophage,N
X129583031446837.N,Pro-angiogenesis Macrophage,N
X129583031634852.N,Pro-angiogenesis Macrophage,N
X129583031736557.N,Pro-angiogenesis Macrophage,N
X129583031966053.N,Natural killer cell,N
X129583032220974.N,Effector/Memory CD4+ T cells,N
X129663515872686.N,Lung Cancer Cell,N
X129663531343141.N,Blood Cell,N
X129663543201115.N,Pro-angiogenesis Macrophage,N
X129663562069942.N,Effector/Memory CD4+ T cells,N
X129663562634997.N,Blood Cell,N
X129978391021995.N,Phagocytosis Macrophage,N
X129978406137054.N,Pro-angiogenesis Macrophage,N
X129978417928029.N,Pro-angiogenesis Macrophage,N
X129978418452918.N,Pro-angiogenesis Macrophage,N
X129978418748643.N,Natural killer cell,N
X129978418783966.N,Blood Cell,N
X129978437098859.N,Macrophage,N
X129978437332190.N,CAFadi,N
X130057579122076.N,Natural killer cell,N
X130057606719350.N,Effector/Memory CD4+ T cells,N
X130057607210742.N,Effector/Memory CD4+ T cells,N
X130057625556900.N,Macrophage or Dendritic Cell,N
X130126447536868.N,Pro-angiogenesis Macrophage,N
X130126448323507.N,Phagocytosis Macrophage,N
X130126460415203.N,Naive CD4+ T cells,N
X130126460869995.N,Pro-angiogenesis Macrophage,N
X130126460892974.N,Pro-angiogenesis Macrophage,N
X130126479776107.N,Pro-angiogenesis Macrophage,N
X130126479776475.N,Macrophage,N
X130134888535773.N,Effector/Memory CD4+ T cells,N
X130134888831899.N,Effector/Memory CD4+ T cells,N
X130134888836390.N,Pro-angiogenesis Macrophage,N
X130134889392859.N,Natural killer cell,N
X130134903831835.N,Blood Cell,N
X130134903843045.N,Effector/Memory CD8+ T cells,N
X130134916581686.N,Pro-angiogenesis Macrophage,N
X130134916618603.N,Pro-angiogenesis Macrophage,N
X130134934935837.N,Pro-angiogenesis Macrophage,N
X130134934993331.N,Macrophage or Dendritic Cell,N
X130134935289204.N,Natural killer cell,N
X130134935529717.N,Natural killer cell,N
X130142285191523.N,Pro-angiogenesis Macrophage,N
X130142285221299.N,Pro-angiogenesis Macrophage,N
X130142286076123.N,Macrophage,N
X130142316641587.N,Macrophage,N
X130142316713773.N,Pro-angiogenesis Macrophage,N
X130142317533467.N,Endothelial Cells,N
X130144701405406.N,Pro-angiogenesis Macrophage,N
X130144701409566.N,Macrophage,N
X130144714213805.N,Pro-angiogenesis Macrophage,N
X130144714574171.N,Normal Fibroblast,N
X130184147261804.N,CD4 or CD8 T cell,N
X130184161413869.N,Pro-angiogenesis Macrophage,N
X130184161442093.N,Effector/Memory CD4+ T cells,N
X130184173704941.N,Pro-angiogenesis Macrophage,N
X130184173767390.N,Pro-angiogenesis Macrophage,N
X130184174520734.N,Pro-angiogenesis Macrophage,N
X130184192932782.N,Pro-angiogenesis Macrophage,N
X130184193165557.N,Pro-inflammatory Macrophage,N
X130184193391339.N,Pro-angiogenesis Macrophage,N
X130184193431340.N,Pro-angiogenesis Macrophage,N
X130185503365853.N,Naive CD4+ T cells,N
X130185503366044.N,Natural killer cell,N
X130185503623013.N,Pro-angiogenesis Macrophage,N
X130185503655718.N,Macrophage,N
X130185503665462.N,Pro-angiogenesis Macrophage,N
X130185503821043.N,Phagocytosis Macrophage,N
X130185503885741.N,Pro-angiogenesis Macrophage,N
X130185504086325.N,Pro-angiogenesis Macrophage,N
X130185515945307.N,Effector/Memory CD4+ T cells,N
X130185516735732.N,Macrophage,N
X130185534789413.N,Effector/Memory CD8+ T cells,N
X130185534855389.N,Pro-angiogenesis Macrophage,N
X130194212801899.N,Pro-angiogenesis Macrophage,N
X130194227738461.N,Pro-angiogenesis Macrophage,N
X130194228242349.N,Pro-angiogenesis Macrophage,N
X130194240367350.N,Effector/Memory CD8+ T cells,N
X130194258999724.N,Effector/Memory CD8+ T cells,N
X130194259535582.N,Effector/Memory CD4+ T cells,N
X130203877267229.N,Pro-angiogenesis Macrophage,N
X130203891219870.N,Effector/Memory CD4+ T cells,N
X130203891448109.N,Effector/Memory CD8+ T cells,N
X130203903965621.N,Natural killer cell,N
X130203904005931.N,Pro-angiogenesis Macrophage,N
X130203904040172.N,Pro-angiogenesis Macrophage,N
X130203922619164.N,Phagocytosis Macrophage,N
X130203922683821.N,Macrophage,N
X130529086000054.N,Pro-angiogenesis Macrophage,N
X130529132165982.N,Pro-angiogenesis Macrophage,N
X130529132408102.N,CD8 T or NK cell,N
X130529132926693.N,Effector/Memory CD8+ T cells,N
X130529133025563.N,Naive CD4+ T cells,N
X130531367730550.N,Pro-angiogenesis Macrophage,N
X130531368036659.N,Pro-angiogenesis Macrophage,N
X130531382934372.N,Macrophage,N
X130531395234723.N,Pro-angiogenesis Macrophage,N
X130531395267500.N,Blood Cell,N
X130531395517165.N,Natural killer cell,N
X130531395750837.N,Pro-angiogenesis Macrophage,N
X130531395852715.N,Naive CD4+ T cells,N
X130531413903795.N,Pro-angiogenesis Macrophage,N
X130531414166837.N,Effector/Memory CD4+ T cells,N
X130531414363443.N,Pro-angiogenesis Macrophage,N
X130624783572261.N,Pro-angiogenesis Macrophage,N
